symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,12,0,indicator < high
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,12,0,indicator < high
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,12,0,indicator < high
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,12,0,indicator < high
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,12,0,indicator < high
AAPL,,,1985-06-01,0.08,0.08,0.07,0.08,5811388800,,12,0,indicator < high
AAPL,,,1985-07-01,0.08,0.08,0.07,0.07,2600595200,,12,0,indicator < high
AAPL,,,1985-08-01,0.07,0.07,0.06,0.07,1818745600,,12,0,indicator < high
AAPL,,,1985-09-01,0.07,0.08,0.07,0.07,1797196800,,12,0,indicator < high
AAPL,,,1985-10-01,0.07,0.09,0.07,0.08,3785913600,,12,0,indicator < high
AAPL,,,1985-11-01,0.08,0.09,0.08,0.09,2884672000,,12,0,indicator < high
AAPL,0.01851851851851864,-0.0181818181818183,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.09166666666666667,12,1,indicator < high
AAPL,-0.10833333333333334,0.12149532710280374,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.08916666666666667,12,1,indicator < high
AAPL,-0.13333333333333336,0.15384615384615388,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.08666666666666667,12,1,indicator < high
AAPL,-0.2121212121212121,0.2692307692307692,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.08666666666666667,12,1,indicator < high
AAPL,-0.3141025641025641,0.4579439252336448,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.08916666666666667,12,1,indicator < high
AAPL,-0.33333333333333337,0.5000000000000001,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.09333333333333334,12,1,indicator < high
AAPL,-0.40686274509803927,0.6859504132231407,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.10083333333333333,12,1,indicator < high
AAPL,-0.328125,0.48837209302325585,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.1075,12,1,indicator < high
AAPL,-0.1904761904761905,0.23529411764705885,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.11333333333333334,12,1,indicator < high
AAPL,-0.2843137254901962,0.39726027397260294,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.12166666666666666,12,1,indicator < high
AAPL,-0.14444444444444446,0.16883116883116883,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.12833333333333333,12,1,indicator < high
AAPL,-0.15624999999999997,0.18518518518518512,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.135,12,1,indicator < high
AAPL,-0.20833333333333337,0.26315789473684215,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.1425,12,1,indicator < high
AAPL,-0.17129629629629625,0.20670391061452506,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.14916666666666667,12,1,indicator < high
AAPL,-0.3533333333333334,0.5463917525773198,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.16166666666666665,12,1,indicator < high
AAPL,-0.4247311827956989,0.7383177570093457,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.17833333333333334,12,1,indicator < high
AAPL,-0.31845238095238104,0.46724890829694343,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.19083333333333333,12,1,indicator < high
AAPL,-0.4047619047619047,0.6799999999999998,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.20833333333333334,12,1,indicator < high
AAPL,-0.3619047619047618,0.5671641791044774,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.22333333333333336,12,1,indicator < high
