symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,24,0,indicator >= low
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,24,0,indicator >= low
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,24,0,indicator >= low
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,24,0,indicator >= low
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,24,0,indicator >= low
AAPL,,,1985-06-01,0.08,0.08,0.07,0.08,5811388800,,24,0,indicator >= low
AAPL,,,1985-07-01,0.08,0.08,0.07,0.07,2600595200,,24,0,indicator >= low
AAPL,,,1985-08-01,0.07,0.07,0.06,0.07,1818745600,,24,0,indicator >= low
AAPL,,,1985-09-01,0.07,0.08,0.07,0.07,1797196800,,24,0,indicator >= low
AAPL,,,1985-10-01,0.07,0.09,0.07,0.08,3785913600,,24,0,indicator >= low
AAPL,,,1985-11-01,0.08,0.09,0.08,0.09,2884672000,,24,0,indicator >= low
AAPL,,,1985-12-01,0.09,0.1,0.09,0.1,3571209600,,24,0,indicator >= low
AAPL,,,1986-01-01,0.1,0.11,0.1,0.1,6291801600,,24,0,indicator >= low
AAPL,,,1986-02-01,0.1,0.12,0.1,0.11,3420860800,,24,0,indicator >= low
AAPL,,,1986-03-01,0.11,0.13,0.11,0.13,4264332800,,24,0,indicator >= low
AAPL,,,1986-04-01,0.13,0.15,0.12,0.14,4462684800,,24,0,indicator >= low
AAPL,,,1986-05-01,0.14,0.17,0.13,0.17,4954051200,,24,0,indicator >= low
AAPL,,,1986-06-01,0.17,0.17,0.15,0.16,4063360000,,24,0,indicator >= low
AAPL,,,1986-07-01,0.16,0.17,0.13,0.14,5691638400,,24,0,indicator >= low
AAPL,,,1986-08-01,0.14,0.17,0.14,0.17,3643516800,,24,0,indicator >= low
AAPL,,,1986-09-01,0.17,0.17,0.14,0.15,3578198400,,24,0,indicator >= low
AAPL,,,1986-10-01,0.15,0.16,0.14,0.15,2984038400,,24,0,indicator >= low
AAPL,,,1986-11-01,0.16,0.18,0.15,0.18,5206163200,,24,0,indicator >= low
AAPL,-0.34953703703703703,0.5373665480427046,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.11708333333333333,24,0,indicator >= low
AAPL,-0.33796296296296285,0.5104895104895102,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.11916666666666668,24,0,indicator >= low
AAPL,-0.5033333333333332,1.0134228187919458,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.12416666666666669,24,0,indicator >= low
AAPL,-0.5725806451612904,1.3396226415094343,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.13249999999999998,24,0,indicator >= low
AAPL,-0.5000000000000001,1.0000000000000004,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.13999999999999999,24,0,indicator >= low
AAPL,-0.569047619047619,1.3204419889502759,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.15083333333333335,24,0,indicator >= low
AAPL,-0.5369047619047619,1.1593830334190232,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.16208333333333333,24,0,indicator >= low
AAPL,-0.5173611111111112,1.0719424460431655,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.17375,24,0,indicator >= low
AAPL,-0.49662162162162155,0.9865771812080534,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.18625000000000003,24,0,indicator >= low
AAPL,-0.5841836734693878,1.4049079754601226,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.20375000000000001,24,0,indicator >= low
AAPL,-0.5645424836601308,1.2964352720450283,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.22208333333333333,24,0,indicator >= low
AAPL,-0.33333333333333337,0.5000000000000001,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.2333333333333333,24,0,indicator >= low
AAPL,-0.1930555555555556,0.23924268502581758,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.24208333333333332,24,0,indicator >= low
AAPL,-0.3322368421052632,0.49753694581280805,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.25375,24,0,indicator >= low
AAPL,-0.2837837837837839,0.3962264150943398,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.26499999999999996,24,0,indicator >= low
AAPL,-0.2905982905982906,0.4096385542168675,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.27666666666666667,24,0,indicator >= low
AAPL,-0.1833333333333333,0.2244897959183673,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.28583333333333333,24,0,indicator >= low
AAPL,-0.18055555555555558,0.22033898305084748,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.295,24,0,indicator >= low
AAPL,-0.18018018018018014,0.21978021978021972,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.30333333333333334,24,0,indicator >= low
AAPL,-0.251984126984127,0.336870026525199,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.31416666666666665,24,0,indicator >= low
AAPL,-0.18750000000000003,0.23076923076923078,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.325,24,0,indicator >= low
AAPL,-0.04999999999999989,0.0526315789473683,1988-09-01,0.35,0.4,0.34,0.39,3060321600,0.3325,24,0,indicator >= low
AAPL,-0.09978070175438608,0.1108404384896469,1988-10-01,0.38,0.39,0.33,0.34,3563649600,0.3420833333333333,24,1,indicator >= low
AAPL,0.028186274509803756,-0.027413587604290662,1988-11-01,0.34,0.35,0.32,0.34,2939865600,0.3495833333333333,24,1,indicator >= low
AAPL,0.04779411764705878,-0.04561403508771926,1988-12-01,0.34,0.38,0.33,0.36,2946070400,0.35625,24,1,indicator >= low
AAPL,0.010416666666666753,-0.010309278350515549,1989-01-01,0.36,0.39,0.32,0.34,7345833600,0.36375,24,1,indicator >= low
AAPL,0.08088235294117638,-0.07482993197278903,1989-02-01,0.34,0.36,0.31,0.32,4886268800,0.3675,24,1,indicator >= low
AAPL,0.14973958333333331,-0.13023782559456398,1989-03-01,0.32,0.33,0.3,0.32,3859676800,0.36791666666666667,24,1,indicator >= low
AAPL,0.15494791666666677,-0.13416009019165734,1989-04-01,0.32,0.37,0.3,0.35,3966424000,0.3695833333333334,24,1,indicator >= low
AAPL,0.08578431372549021,-0.07900677200902936,1989-05-01,0.34,0.44,0.34,0.43,5253382400,0.3691666666666667,24,1,indicator >= low
AAPL,-0.13372093023255813,0.15436241610738255,1989-06-01,0.43,0.45,0.35,0.37,3941280000,0.3725,24,1,indicator >= low
AAPL,0.007882882882882764,-0.007821229050279214,1989-07-01,0.37,0.38,0.34,0.35,3688630400,0.3729166666666666,24,1,indicator >= low
AAPL,0.06309523809523829,-0.05935050391937307,1989-08-01,0.35,0.41,0.35,0.4,3352305600,0.3720833333333334,24,1,indicator >= low
AAPL,-0.07916666666666669,0.08597285067873306,1989-09-01,0.4,0.42,0.38,0.4,2020849600,0.36833333333333335,24,0,indicator >= low
AAPL,-0.09062500000000001,0.09965635738831616,1989-10-01,0.4,0.45,0.38,0.42,4125049600,0.36375,24,0,indicator >= low
AAPL,-0.10670731707317077,0.11945392491467581,1989-11-01,0.41,0.42,0.38,0.4,2524939200,0.36624999999999996,24,0,indicator >= low
AAPL,-0.07395833333333338,0.07986501687289094,1989-12-01,0.4,0.41,0.29,0.31,5941185600,0.37041666666666667,24,1,indicator >= low
AAPL,0.1854838709677419,-0.15646258503401358,1990-01-01,0.31,0.35,0.29,0.3,3747497600,0.3675,24,1,indicator >= low
AAPL,0.17741935483870966,-0.1506849315068493,1990-02-01,0.31,0.31,0.29,0.3,2483891200,0.365,24,1,indicator >= low
AAPL,0.20416666666666677,-0.1695501730103807,1990-03-01,0.3,0.39,0.3,0.36,4556473600,0.36125,24,1,indicator >= low
AAPL,0.0046296296296295825,-0.004608294930875529,1990-04-01,0.36,0.4,0.34,0.35,3642475200,0.36166666666666664,24,1,indicator >= low
AAPL,0.03214285714285725,-0.03114186851211083,1990-05-01,0.35,0.38,0.35,0.37,4115630400,0.36125,24,1,indicator >= low
AAPL,-0.023648648648648594,0.024221453287197176,1990-06-01,0.37,0.4,0.33,0.4,3952054400,0.36125,24,1,indicator >= low
AAPL,-0.0989583333333334,0.10982658959537579,1990-07-01,0.4,0.43,0.36,0.38,4163812800,0.36041666666666666,24,1,indicator >= low
AAPL,-0.053728070175438666,0.0567786790266513,1990-08-01,0.38,0.39,0.3,0.33,3128339200,0.3595833333333333,24,1,indicator >= low
AAPL,0.08712121212121195,-0.0801393728222995,1990-09-01,0.33,0.33,0.24,0.26,2206948800,0.35874999999999996,24,1,indicator >= low
AAPL,0.3605769230769231,-0.26501766784452296,1990-10-01,0.26,0.29,0.22,0.27,5056116800,0.35375,24,1,indicator >= low
AAPL,0.2993827160493828,-0.23040380047505946,1990-11-01,0.27,0.34,0.27,0.33,3254608000,0.3508333333333334,24,1,indicator >= low
AAPL,0.06186868686868678,-0.058263971462544514,1990-12-01,0.33,0.4,0.33,0.38,4094092800,0.35041666666666665,24,1,indicator >= low
AAPL,-0.0756578947368421,0.08185053380782917,1991-01-01,0.38,0.5,0.38,0.5,7037307200,0.35125,24,0,indicator >= low
AAPL,-0.2841666666666667,0.39697322467986035,1991-02-01,0.5,0.56,0.49,0.51,5545780800,0.35791666666666666,24,0,indicator >= low
AAPL,-0.2826797385620916,0.39407744874715284,1991-03-01,0.51,0.63,0.51,0.61,5210598400,0.3658333333333333,24,0,indicator >= low
AAPL,-0.3804644808743169,0.6141124586549062,1991-04-01,0.61,0.65,0.49,0.49,7243051200,0.3779166666666667,24,0,indicator >= low
AAPL,-0.11240310077519382,0.12663755458515286,1991-05-01,0.43,0.48,0.39,0.42,7972843200,0.38166666666666665,24,0,indicator >= low
AAPL,-0.09226190476190464,0.10163934426229494,1991-06-01,0.42,0.44,0.36,0.37,4091662400,0.38125000000000003,24,1,indicator >= low
AAPL,0.004385964912280657,-0.004366812227074191,1991-07-01,0.38,0.43,0.37,0.41,3783494400,0.38166666666666665,24,1,indicator >= low
AAPL,-0.06300813008130092,0.06724511930585696,1991-08-01,0.41,0.5,0.41,0.47,4172649600,0.3841666666666666,24,0,indicator >= low
AAPL,-0.17641843971631188,0.2142088266953711,1991-09-01,0.47,0.48,0.42,0.44,2393070400,0.3870833333333334,24,0,indicator >= low
AAPL,-0.11647727272727276,0.13183279742765278,1991-10-01,0.44,0.5,0.42,0.46,3593990400,0.38875,24,0,indicator >= low
AAPL,-0.15036231884057968,0.17697228144989335,1991-11-01,0.46,0.49,0.42,0.45,3696033600,0.39083333333333337,24,0,indicator >= low
AAPL,-0.12685185185185194,0.1452810180275717,1991-12-01,0.45,0.52,0.43,0.5,2607169600,0.39291666666666664,24,0,indicator >= low
AAPL,-0.19833333333333336,0.24740124740124744,1992-01-01,0.5,0.62,0.5,0.58,4703160000,0.4008333333333333,24,0,indicator >= low
AAPL,-0.2895114942528735,0.40748230535894825,1992-02-01,0.58,0.62,0.55,0.6,2534996800,0.41208333333333336,24,0,indicator >= low
AAPL,-0.2923611111111111,0.41315014720314036,1992-03-01,0.6,0.61,0.52,0.52,2985662400,0.4245833333333333,24,0,indicator >= low
AAPL,-0.15522875816993464,0.18375241779497098,1992-04-01,0.51,0.55,0.47,0.54,3931390400,0.43083333333333335,24,0,indicator >= low
AAPL,-0.1875,0.23076923076923078,1992-05-01,0.54,0.56,0.52,0.53,2703724800,0.43875000000000003,24,0,indicator >= low
AAPL,-0.12826797385620917,0.14714151827553892,1992-06-01,0.51,0.53,0.38,0.43,4851683200,0.44458333333333333,24,1,indicator >= low
AAPL,0.03682170542635654,-0.03551401869158874,1992-07-01,0.43,0.44,0.39,0.42,3632809600,0.4458333333333333,24,1,indicator >= low
AAPL,0.06547619047619054,-0.0614525139664805,1992-08-01,0.42,0.42,0.37,0.41,2746531200,0.4475,24,1,indicator >= low
