symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
NVDA,,,1999-01-01,0.04,0.05,0.04,0.04,4284288000,,12,0,indicator >= low
NVDA,,,1999-02-01,0.04,0.05,0.04,0.05,3146592000,,12,0,indicator >= low
NVDA,,,1999-03-01,0.05,0.05,0.04,0.04,2014512000,,12,0,indicator >= low
NVDA,,,1999-04-01,0.04,0.05,0.03,0.04,1767024000,,12,0,indicator >= low
NVDA,,,1999-05-01,0.04,0.04,0.03,0.04,2482512000,,12,0,indicator >= low
NVDA,,,1999-06-01,0.04,0.04,0.03,0.04,2366160000,,12,0,indicator >= low
NVDA,,,1999-07-01,0.04,0.05,0.04,0.04,3764064000,,12,0,indicator >= low
NVDA,,,1999-08-01,0.04,0.06,0.04,0.06,7894800000,,12,0,indicator >= low
NVDA,,,1999-09-01,0.06,0.06,0.03,0.04,6992640000,,12,0,indicator >= low
NVDA,,,1999-10-01,0.04,0.05,0.04,0.05,7953504000,,12,0,indicator >= low
NVDA,,,1999-11-01,0.05,0.09,0.05,0.07,13917936000,,12,0,indicator >= low
NVDA,-0.34523809523809523,0.5272727272727273,1999-12-01,0.07,0.1,0.07,0.1,4917552000,0.04583333333333334,12,0,indicator >= low
NVDA,-0.4916666666666667,0.9672131147540984,2000-01-01,0.1,0.1,0.07,0.08,4941456000,0.050833333333333335,12,0,indicator >= low
NVDA,-0.3229166666666667,0.4769230769230769,2000-02-01,0.08,0.14,0.07,0.13,9160848000,0.05416666666666667,12,0,indicator >= low
NVDA,-0.5320512820512822,1.1369863013698633,2000-03-01,0.13,0.31,0.12,0.18,17552160000,0.06083333333333333,12,0,indicator >= low
NVDA,-0.5784313725490197,1.372093023255814,2000-04-01,0.17,0.23,0.12,0.19,6481728000,0.07166666666666667,12,0,indicator >= low
NVDA,-0.5570175438596491,1.2574257425742574,2000-05-01,0.19,0.25,0.16,0.24,8695584000,0.08416666666666667,12,0,indicator >= low
NVDA,-0.5798611111111112,1.3801652892561984,2000-06-01,0.24,0.37,0.24,0.26,13271304000,0.10083333333333333,12,0,indicator >= low
NVDA,-0.5555555555555556,1.2500000000000002,2000-07-01,0.27,0.32,0.21,0.25,7280352000,0.12,12,0,indicator >= low
NVDA,-0.45000000000000007,0.8181818181818185,2000-08-01,0.25,0.34,0.22,0.33,6079248000,0.13749999999999998,12,0,indicator >= low
NVDA,-0.5269607843137255,1.1139896373056994,2000-09-01,0.34,0.36,0.26,0.34,5868576000,0.16083333333333336,12,0,indicator >= low
NVDA,-0.4666666666666666,0.8749999999999998,2000-10-01,0.35,0.36,0.22,0.26,8841576000,0.18666666666666668,12,0,indicator >= low
NVDA,-0.18666666666666665,0.22950819672131145,2000-11-01,0.25,0.33,0.15,0.17,8675472000,0.20333333333333334,12,1,indicator >= low
NVDA,0.18055555555555558,-0.15294117647058825,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.2125,12,1,indicator >= low
NVDA,0.5416666666666664,-0.35135135135135126,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.21583333333333332,12,1,indicator >= low
NVDA,0.03409090909090912,-0.032967032967032996,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.2275,12,1,indicator >= low
NVDA,0.28703703703703703,-0.22302158273381295,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.23166666666666666,12,1,indicator >= low
