symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
AAPL,,,1985-01-01,0.13,0.14,0.12,0.13,6366416000,,6,0,indicator >= low
AAPL,,,1985-02-01,0.13,0.14,0.11,0.11,4733388800,,6,0,indicator >= low
AAPL,,,1985-03-01,0.11,0.12,0.09,0.1,4615587200,,6,0,indicator >= low
AAPL,,,1985-04-01,0.1,0.1,0.09,0.09,2868028800,,6,0,indicator >= low
AAPL,,,1985-05-01,0.09,0.1,0.08,0.08,4639129600,,6,0,indicator >= low
AAPL,0.22023809523809504,-0.18048780487804864,1985-06-01,0.08,0.08,0.07,0.08,5811388800,0.0976190476190476,6,1,indicator >= low
AAPL,0.1250000000000001,-0.1111111111111112,1985-07-01,0.08,0.08,0.07,0.07,2600595200,0.09000000000000001,6,1,indicator >= low
AAPL,0.17006802721088432,-0.1453488372093023,1985-08-01,0.07,0.07,0.06,0.07,1818745600,0.08190476190476191,6,1,indicator >= low
AAPL,0.09523809523809544,-0.08695652173913061,1985-09-01,0.07,0.08,0.07,0.07,1797196800,0.07666666666666669,6,1,indicator >= low
AAPL,0.047619047619047526,-0.045454545454545366,1985-10-01,0.07,0.09,0.07,0.08,3785913600,0.07333333333333333,6,1,indicator >= low
AAPL,-0.07142857142857141,0.07692307692307691,1985-11-01,0.08,0.09,0.08,0.09,2884672000,0.07428571428571429,6,0,indicator >= low
AAPL,-0.1269841269841268,0.14545454545454523,1985-12-01,0.09,0.1,0.09,0.1,3571209600,0.07857142857142858,6,0,indicator >= low
AAPL,-0.14761904761904768,0.1731843575418995,1986-01-01,0.1,0.11,0.1,0.1,6291801600,0.08523809523809524,6,0,indicator >= low
AAPL,-0.0904761904761904,0.09947643979057583,1986-02-01,0.1,0.12,0.1,0.11,3420860800,0.09095238095238097,6,0,indicator >= low
AAPL,-0.10822510822510822,0.12135922330097086,1986-03-01,0.11,0.13,0.11,0.13,4264332800,0.0980952380952381,6,0,indicator >= low
AAPL,-0.1611721611721612,0.19213973799126643,1986-04-01,0.13,0.15,0.12,0.14,4462684800,0.10904761904761905,6,0,indicator >= low
AAPL,-0.14285714285714277,0.16666666666666655,1986-05-01,0.14,0.17,0.13,0.17,4954051200,0.12000000000000002,6,0,indicator >= low
AAPL,-0.19607843137254913,0.2439024390243904,1986-06-01,0.17,0.17,0.15,0.16,4063360000,0.13666666666666666,6,0,indicator >= low
AAPL,-0.08333333333333334,0.09090909090909093,1986-07-01,0.16,0.17,0.13,0.14,5691638400,0.14666666666666667,6,1,indicator >= low
AAPL,0.05782312925170071,-0.05466237942122189,1986-08-01,0.14,0.17,0.14,0.17,3643516800,0.1480952380952381,6,1,indicator >= low
AAPL,-0.08123249299719881,0.08841463414634139,1986-09-01,0.17,0.17,0.14,0.15,3578198400,0.1561904761904762,6,1,indicator >= low
AAPL,0.03809523809523818,-0.0366972477064221,1986-10-01,0.15,0.16,0.14,0.15,2984038400,0.15571428571428572,6,1,indicator >= low
AAPL,-0.017857142857142898,0.018181818181818223,1986-11-01,0.16,0.18,0.15,0.18,5206163200,0.15714285714285714,6,1,indicator >= low
AAPL,-0.09259259259259257,0.10204081632653059,1986-12-01,0.18,0.2,0.17,0.18,4762576000,0.16333333333333333,6,0,indicator >= low
AAPL,-0.06084656084656091,0.06478873239436626,1987-01-01,0.18,0.26,0.18,0.25,8268915200,0.16904761904761903,6,0,indicator >= low
AAPL,-0.22476190476190472,0.2899262899262898,1987-02-01,0.25,0.32,0.23,0.31,6616176000,0.19380952380952382,6,0,indicator >= low
AAPL,-0.2565284178187404,0.3450413223140496,1987-03-01,0.31,0.31,0.28,0.29,5959318400,0.23047619047619047,6,0,indicator >= low
AAPL,-0.10034013605442164,0.11153119092627584,1987-04-01,0.28,0.36,0.28,0.35,6813161600,0.25190476190476196,6,0,indicator >= low
AAPL,-0.1795918367346938,0.21890547263681584,1987-05-01,0.35,0.37,0.32,0.35,3838956800,0.28714285714285714,6,0,indicator >= low
AAPL,-0.10476190476190465,0.11702127659574454,1987-06-01,0.35,0.39,0.34,0.36,3497536000,0.31333333333333335,6,0,indicator >= low
AAPL,-0.07142857142857152,0.07692307692307702,1987-07-01,0.36,0.4,0.33,0.37,3070256000,0.33428571428571424,6,1,indicator >= low
AAPL,-0.0553410553410555,0.05858310626703016,1987-08-01,0.37,0.48,0.36,0.48,3119300800,0.34952380952380946,6,0,indicator >= low
AAPL,-0.19727891156462588,0.24576271186440682,1987-09-01,0.49,0.52,0.43,0.5,3075486400,0.3933333333333333,6,0,indicator >= low
AAPL,-0.14845938375350132,0.1743421052631578,1987-10-01,0.51,0.53,0.25,0.34,6575699200,0.43428571428571433,6,1,indicator >= low
AAPL,0.19591836734693877,-0.16382252559726962,1987-11-01,0.35,0.36,0.27,0.29,4234238400,0.41857142857142854,6,1,indicator >= low
AAPL,0.2952380952380953,-0.22794117647058826,1987-12-01,0.3,0.39,0.27,0.38,4702264000,0.38857142857142857,6,1,indicator >= low
AAPL,0.01002506265664148,-0.009925558312654965,1988-01-01,0.38,0.41,0.34,0.37,6221600000,0.38380952380952377,6,1,indicator >= low
AAPL,0.014157014157014227,-0.01395939086294423,1988-02-01,0.37,0.39,0.34,0.38,3368467200,0.37523809523809526,6,1,indicator >= low
AAPL,-0.045177045177045246,0.04731457800511516,1988-03-01,0.39,0.43,0.35,0.36,4882102400,0.37238095238095237,6,1,indicator >= low
AAPL,0.03673469387755099,-0.035433070866141704,1988-04-01,0.35,0.38,0.34,0.37,3297929600,0.3628571428571428,6,1,indicator >= low
AAPL,0.01058201058201076,-0.01047120418848185,1988-05-01,0.36,0.39,0.33,0.37,2638507200,0.36380952380952386,6,1,indicator >= low
AAPL,-0.007722007722007665,0.007782101167315117,1988-06-01,0.37,0.42,0.37,0.41,3534731200,0.36714285714285716,6,0,indicator >= low
AAPL,-0.0918367346938776,0.10112359550561803,1988-07-01,0.42,0.42,0.38,0.4,2186419200,0.3814285714285714,6,1,indicator >= low
AAPL,-0.029761904761904795,0.030674846625766906,1988-08-01,0.4,0.41,0.35,0.36,2653313600,0.3880952380952381,6,1,indicator >= low
AAPL,0.08299319727891157,-0.07663316582914573,1988-09-01,0.35,0.4,0.34,0.39,3060321600,0.379047619047619,6,1,indicator >= low
AAPL,0.001253132832080313,-0.001251564455569574,1988-10-01,0.38,0.39,0.33,0.34,3563649600,0.3804761904761905,6,1,indicator >= low
AAPL,0.08543417366946778,-0.07870967741935482,1988-11-01,0.34,0.35,0.32,0.34,2939865600,0.36904761904761907,6,1,indicator >= low
AAPL,0.0546218487394958,-0.05179282868525896,1988-12-01,0.34,0.38,0.33,0.36,2946070400,0.3585714285714286,6,1,indicator >= low
AAPL,-0.013227513227513027,0.01340482573726521,1989-01-01,0.36,0.39,0.32,0.34,7345833600,0.3552380952380953,6,1,indicator >= low
AAPL,0.026610644257703018,-0.02592087312414728,1989-02-01,0.34,0.36,0.31,0.32,4886268800,0.34904761904761905,6,1,indicator >= low
AAPL,0.06250000000000006,-0.058823529411764754,1989-03-01,0.32,0.33,0.3,0.32,3859676800,0.34,6,1,indicator >= low
AAPL,0.03869047619047619,-0.03724928366762178,1989-04-01,0.32,0.37,0.3,0.35,3966424000,0.3323809523809524,6,1,indicator >= low
AAPL,-0.019607843137254864,0.01999999999999996,1989-05-01,0.34,0.44,0.34,0.43,5253382400,0.33333333333333337,6,0,indicator >= low
AAPL,-0.1627906976744185,0.19444444444444428,1989-06-01,0.43,0.45,0.35,0.37,3941280000,0.36000000000000004,6,1,indicator >= low
AAPL,-0.012870012870012975,0.013037809647979248,1989-07-01,0.37,0.38,0.34,0.35,3688630400,0.3652380952380952,6,1,indicator >= low
AAPL,0.04081632653061242,-0.03921568627450996,1989-08-01,0.35,0.41,0.35,0.4,3352305600,0.3642857142857143,6,1,indicator >= low
AAPL,-0.05714285714285727,0.060606060606060747,1989-09-01,0.4,0.42,0.38,0.4,2020849600,0.3771428571428571,6,0,indicator >= low
AAPL,-0.034523809523809706,0.03575832305795334,1989-10-01,0.4,0.45,0.38,0.42,4125049600,0.38619047619047614,6,1,indicator >= low
AAPL,-0.03832752613240396,0.039855072463767884,1989-11-01,0.41,0.42,0.38,0.4,2524939200,0.39428571428571435,6,1,indicator >= low
AAPL,-0.009523809523809545,0.009615384615384637,1989-12-01,0.4,0.41,0.29,0.31,5941185600,0.3961904761904762,6,1,indicator >= low
AAPL,0.20583717357910908,-0.17070063694267518,1990-01-01,0.31,0.35,0.29,0.3,3747497600,0.3738095238095238,6,1,indicator >= low
AAPL,0.1428571428571428,-0.12499999999999994,1990-02-01,0.31,0.31,0.29,0.3,2483891200,0.35428571428571426,6,1,indicator >= low
AAPL,0.11269841269841263,-0.10128388017118398,1990-03-01,0.3,0.39,0.3,0.36,4556473600,0.3338095238095238,6,1,indicator >= low
AAPL,-0.0687830687830688,0.07386363636363637,1990-04-01,0.36,0.4,0.34,0.35,3642475200,0.3352380952380952,6,0,indicator >= low
AAPL,-0.04081632653061226,0.04255319148936172,1990-05-01,0.35,0.38,0.35,0.37,4115630400,0.3357142857142857,6,0,indicator >= low
AAPL,-0.06821106821106833,0.0732044198895029,1990-06-01,0.37,0.4,0.33,0.4,3952054400,0.3447619047619047,6,1,indicator >= low
AAPL,-0.0904761904761904,0.09947643979057583,1990-07-01,0.4,0.43,0.36,0.38,4163812800,0.36380952380952386,6,1,indicator >= low
AAPL,-0.01879699248120294,0.019157088122605293,1990-08-01,0.38,0.39,0.3,0.33,3128339200,0.3728571428571429,6,1,indicator >= low
AAPL,0.10389610389610396,-0.09411764705882358,1990-09-01,0.33,0.33,0.24,0.26,2206948800,0.3642857142857143,6,1,indicator >= low
AAPL,0.2857142857142855,-0.2222222222222221,1990-10-01,0.26,0.29,0.22,0.27,5056116800,0.33428571428571424,6,1,indicator >= low
AAPL,0.15520282186948847,-0.1343511450381679,1990-11-01,0.27,0.34,0.27,0.33,3254608000,0.3119047619047619,6,1,indicator >= low
AAPL,-0.059163059163059084,0.062883435582822,1990-12-01,0.33,0.4,0.33,0.38,4094092800,0.3104761904761905,6,0,indicator >= low
AAPL,-0.144110275689223,0.16837481698389448,1991-01-01,0.38,0.5,0.38,0.5,7037307200,0.32523809523809527,6,0,indicator >= low
AAPL,-0.24952380952380948,0.33248730964467,1991-02-01,0.5,0.56,0.49,0.51,5545780800,0.37523809523809526,6,0,indicator >= low
AAPL,-0.17180205415499528,0.20744081172491538,1991-03-01,0.51,0.63,0.51,0.61,5210598400,0.4223809523809524,6,0,indicator >= low
AAPL,-0.19750195160031214,0.24610894941634223,1991-04-01,0.61,0.65,0.49,0.49,7243051200,0.4895238095238096,6,0,indicator >= low
AAPL,0.13621262458471756,-0.11988304093567248,1991-05-01,0.43,0.48,0.39,0.42,7972843200,0.48857142857142855,6,1,indicator >= low
AAPL,0.13605442176870752,-0.11976047904191621,1991-06-01,0.42,0.44,0.36,0.37,4091662400,0.47714285714285715,6,1,indicator >= low
AAPL,0.18421052631578935,-0.15555555555555547,1991-07-01,0.38,0.43,0.37,0.41,3783494400,0.44999999999999996,6,1,indicator >= low
AAPL,0.05226480836236929,-0.049668874172185386,1991-08-01,0.41,0.5,0.41,0.47,4172649600,0.4314285714285714,6,1,indicator >= low
AAPL,-0.07598784194528872,0.08223684210526312,1991-09-01,0.47,0.48,0.42,0.44,2393070400,0.4342857142857143,6,1,indicator >= low
AAPL,-0.021645021645021693,0.022123893805309786,1991-10-01,0.44,0.5,0.42,0.46,3593990400,0.43047619047619046,6,1,indicator >= low
