symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_24_months,moving_average_window_months,condition,screening_rule
NVDA,,,1999-01-01,0.04,0.05,0.04,0.04,4284288000,,24,0,indicator > low
NVDA,,,1999-02-01,0.04,0.05,0.04,0.05,3146592000,,24,0,indicator > low
NVDA,,,1999-03-01,0.05,0.05,0.04,0.04,2014512000,,24,0,indicator > low
NVDA,,,1999-04-01,0.04,0.05,0.03,0.04,1767024000,,24,0,indicator > low
NVDA,,,1999-05-01,0.04,0.04,0.03,0.04,2482512000,,24,0,indicator > low
NVDA,,,1999-06-01,0.04,0.04,0.03,0.04,2366160000,,24,0,indicator > low
NVDA,,,1999-07-01,0.04,0.05,0.04,0.04,3764064000,,24,0,indicator > low
NVDA,,,1999-08-01,0.04,0.06,0.04,0.06,7894800000,,24,0,indicator > low
NVDA,,,1999-09-01,0.06,0.06,0.03,0.04,6992640000,,24,0,indicator > low
NVDA,,,1999-10-01,0.04,0.05,0.04,0.05,7953504000,,24,0,indicator > low
NVDA,,,1999-11-01,0.05,0.09,0.05,0.07,13917936000,,24,0,indicator > low
NVDA,,,1999-12-01,0.07,0.1,0.07,0.1,4917552000,,24,0,indicator > low
NVDA,,,2000-01-01,0.1,0.1,0.07,0.08,4941456000,,24,0,indicator > low
NVDA,,,2000-02-01,0.08,0.14,0.07,0.13,9160848000,,24,0,indicator > low
NVDA,,,2000-03-01,0.13,0.31,0.12,0.18,17552160000,,24,0,indicator > low
NVDA,,,2000-04-01,0.17,0.23,0.12,0.19,6481728000,,24,0,indicator > low
NVDA,,,2000-05-01,0.19,0.25,0.16,0.24,8695584000,,24,0,indicator > low
NVDA,,,2000-06-01,0.24,0.37,0.24,0.26,13271304000,,24,0,indicator > low
NVDA,,,2000-07-01,0.27,0.32,0.21,0.25,7280352000,,24,0,indicator > low
NVDA,,,2000-08-01,0.25,0.34,0.22,0.33,6079248000,,24,0,indicator > low
NVDA,,,2000-09-01,0.34,0.36,0.26,0.34,5868576000,,24,0,indicator > low
NVDA,,,2000-10-01,0.35,0.36,0.22,0.26,8841576000,,24,0,indicator > low
NVDA,,,2000-11-01,0.25,0.33,0.15,0.17,8675472000,,24,0,indicator > low
NVDA,-0.009629629629629495,0.009723261032161418,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.17826666666666668,24,1,indicator > low
NVDA,0.27952380952380945,-0.2184592482322292,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.17913333333333334,24,1,indicator > low
NVDA,-0.1542424242424243,0.1823719097097815,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.18606666666666666,24,1,indicator > low
NVDA,0.05111111111111119,-0.048625792811839395,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.1892,24,1,indicator > low
NVDA,-0.26259259259259266,0.35610246107483684,2001-04-01,0.27,0.37,0.22,0.35,31102920000,0.1991,24,0,indicator > low
NVDA,-0.3867619047619047,0.630687995030284,2001-05-01,0.35,0.42,0.31,0.36,28041600000,0.21463333333333334,24,0,indicator > low
NVDA,-0.3612962962962964,0.5656712090461006,2001-06-01,0.36,0.41,0.35,0.39,20156760000,0.2299333333333333,24,0,indicator > low
NVDA,-0.337927927927928,0.5104095795346307,2001-07-01,0.37,0.38,0.28,0.34,21604512000,0.24496666666666664,24,0,indicator > low
NVDA,-0.2455882352941177,0.32553606237816773,2001-08-01,0.34,0.38,0.33,0.35,29863464000,0.2565,24,0,indicator > low
NVDA,-0.23476190476190478,0.3067828251400125,2001-09-01,0.35,0.35,0.21,0.23,21169188000,0.2678333333333333,24,1,indicator > low
NVDA,0.16782608695652146,-0.14370811615785534,2001-10-01,0.23,0.42,0.19,0.36,26377200000,0.26859999999999995,24,1,indicator > low
NVDA,-0.22462962962962957,0.28970623358012887,2001-11-01,0.36,0.47,0.36,0.46,28734600000,0.27913333333333334,24,0,indicator > low
NVDA,-0.3425925925925926,0.5211267605633803,2001-12-01,0.45,0.59,0.44,0.56,17648640000,0.29583333333333334,24,0,indicator > low
NVDA,-0.42845238095238103,0.7496354926057073,2002-01-01,0.56,0.61,0.5,0.55,23589180000,0.32006666666666667,24,0,indicator > low
NVDA,-0.3782424242424243,0.6083438931669756,2002-02-01,0.55,0.55,0.41,0.43,30995268000,0.34196666666666664,24,0,indicator > low
NVDA,-0.17976744186046506,0.21916643039410258,2002-03-01,0.43,0.5,0.35,0.37,27269724000,0.3527,24,1,indicator > low
NVDA,0.017238095238095403,-0.016945978840932657,2002-04-01,0.35,0.37,0.25,0.29,32098620000,0.35603333333333337,24,1,indicator > low
NVDA,0.2205747126436784,-0.18071381486015647,2002-05-01,0.29,0.34,0.26,0.28,27800688000,0.3539666666666667,24,1,indicator > low
NVDA,0.2961728395061729,-0.2284979521859225,2002-06-01,0.27,0.28,0.14,0.14,28839096000,0.3499666666666667,24,1,indicator > low
NVDA,1.3961904761904762,-0.5826709062003179,2002-07-01,0.14,0.19,0.09,0.09,32480220000,0.3354666666666667,24,1,indicator > low
NVDA,2.526666666666667,-0.7164461247637052,2002-08-01,0.09,0.11,0.07,0.08,24041412000,0.3174,24,1,indicator > low
NVDA,2.738333333333333,-0.7325011145786892,2002-09-01,0.08,0.1,0.07,0.07,17827740000,0.29906666666666665,24,1,indicator > low
NVDA,3.0114285714285716,-0.7507122507122508,2002-10-01,0.07,0.1,0.06,0.1,18364572000,0.28080000000000005,24,1,indicator > low
