symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
NVDA,0.0,0.0,1999-01-01,0.04,0.05,0.04,0.04,4284288000,0.04,12,0,indicator < close
NVDA,0.0,0.0,1999-02-01,0.04,0.05,0.04,0.05,3146592000,0.04,12,1,indicator < close
NVDA,-0.1692307692307693,0.20370370370370378,1999-03-01,0.05,0.05,0.04,0.04,2014512000,0.04153846153846154,12,0,indicator < close
NVDA,0.03254437869822484,-0.031518624641833796,1999-04-01,0.04,0.05,0.03,0.04,1767024000,0.041301775147928994,12,0,indicator < close
NVDA,0.027537551206190287,-0.026799557032115198,1999-05-01,0.04,0.04,0.03,0.04,2482512000,0.04110150204824761,12,0,indicator < close
NVDA,0.023301004866776477,-0.022770430944519627,1999-06-01,0.04,0.04,0.03,0.04,2366160000,0.04093204019467106,12,0,indicator < close
NVDA,0.019716234887272484,-0.019335021070300086,1999-07-01,0.04,0.05,0.04,0.04,3764064000,0.0407886493954909,12,0,indicator < close
NVDA,0.01668296798153831,-0.016409213596505583,1999-08-01,0.04,0.06,0.04,0.06,7894800000,0.04066731871926153,12,1,indicator < close
NVDA,-0.2726403770360553,0.3748357324607365,1999-09-01,0.06,0.06,0.03,0.04,6992640000,0.04364157737783668,12,0,indicator < close
NVDA,0.07703336760808352,-0.07152365927080062,1999-10-01,0.04,0.05,0.04,0.05,7953504000,0.04308133470432334,12,1,indicator < close
NVDA,-0.11708510500375885,0.13261199427863013,1999-11-01,0.05,0.09,0.05,0.07,13917936000,0.04414574474981206,12,1,indicator < close
NVDA,-0.31252396456271136,0.4545961581976042,1999-12-01,0.07,0.1,0.07,0.1,4917552000,0.04812332248061021,12,1,indicator < close
NVDA,-0.43895650208714443,0.7823929939837313,2000-01-01,0.1,0.1,0.07,0.08,4941456000,0.05610434979128556,12,1,indicator < close
NVDA,-0.2527424541306335,0.33822670045652137,2000-02-01,0.08,0.14,0.07,0.13,9160848000,0.05978060366954932,12,1,indicator < close
NVDA,-0.45704932522778546,0.8417879311403978,2000-03-01,0.13,0.31,0.12,0.18,17552160000,0.07058358772038789,12,1,indicator < close
NVDA,-0.49483282130123674,0.9795426982723892,2000-04-01,0.17,0.23,0.12,0.19,6481728000,0.08587842037878976,12,1,indicator < close
NVDA,-0.46369934244263666,0.8646257204952967,2000-05-01,0.19,0.25,0.16,0.24,8695584000,0.10189712493589903,12,1,indicator < close
NVDA,-0.4869011620849713,0.9489422429087712,2000-06-01,0.24,0.37,0.24,0.26,13271304000,0.12314372109960688,12,1,indicator < close
NVDA,-0.4602333526792947,0.852652447059858,2000-07-01,0.27,0.32,0.21,0.25,7280352000,0.14573699477659044,12,1,indicator < close
NVDA,-0.35289017152538615,0.5453327333278636,2000-08-01,0.25,0.34,0.22,0.33,6079248000,0.16177745711865346,12,1,indicator < close
NVDA,-0.44354026508932404,0.7970752190372264,2000-09-01,0.34,0.36,0.26,0.34,5868576000,0.18919630986962985,12,1,indicator < close
NVDA,-0.38875617394155415,0.6360083445724359,2000-10-01,0.35,0.36,0.22,0.26,8841576000,0.21393533912045604,12,1,indicator < close
NVDA,-0.12206500605384107,0.13903649688820463,2000-11-01,0.25,0.33,0.15,0.17,8675472000,0.21948374848653973,12,0,indicator < close
NVDA,0.18560736468031494,-0.15655044849553695,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.21340932564245668,12,0,indicator < close
NVDA,0.4436827373994633,-0.3073270365472947,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.20211558323592488,12,1,indicator < close
NVDA,-0.06878621832336593,0.07386726837259383,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.2048670319688595,12,0,indicator < close
NVDA,0.1168963041271173,-0.10466173421396958,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.2010413347428811,12,1,indicator < close
NVDA,-0.21610977715906213,0.2756888284380526,2001-04-01,0.27,0.37,0.22,0.35,31102920000,0.21165036016705324,12,1,indicator < close
NVDA,-0.3344716567389921,0.502565608400871,2001-05-01,0.35,0.42,0.31,0.36,28041600000,0.23293492014135275,12,1,indicator < close
NVDA,-0.2986572389839999,0.42583634648392193,2001-06-01,0.36,0.41,0.35,0.39,20156760000,0.25248339396576003,12,1,indicator < close
NVDA,-0.26874899508869843,0.36751948822456226,2001-07-01,0.37,0.38,0.28,0.34,21604512000,0.2705628718171816,12,1,indicator < close
NVDA,-0.1728073325816749,0.2089082016660133,2001-08-01,0.34,0.38,0.33,0.35,29863464000,0.28124550692223055,12,1,indicator < close
NVDA,-0.1662196535946075,0.19935664628126146,2001-09-01,0.35,0.35,0.21,0.23,21169188000,0.29182312124188736,12,0,indicator < close
NVDA,0.2274429209567761,-0.18529816504989677,2001-10-01,0.23,0.42,0.19,0.36,26377200000,0.2823118718200585,12,1,indicator < close
NVDA,-0.18260030127764024,0.2233916914369487,2001-11-01,0.36,0.47,0.36,0.46,28734600000,0.2942638915400495,12,1,indicator < close
NVDA,-0.29283712701871034,0.4141013876819553,2001-12-01,0.45,0.59,0.44,0.56,17648640000,0.31822329284158035,12,1,indicator < close
NVDA,-0.3653219476294803,0.5756019863378046,2002-01-01,0.56,0.61,0.5,0.55,23589180000,0.35541970932749106,12,1,indicator < close
NVDA,-0.2993542933423215,0.4272548743220659,2002-02-01,0.55,0.55,0.41,0.43,30995268000,0.3853551386617232,12,1,indicator < close
NVDA,-0.0878521421683443,0.09631348844822714,2002-03-01,0.43,0.5,0.35,0.37,27269724000,0.39222357886761194,12,0,indicator < close
NVDA,0.1020789818777433,-0.09262401656895694,2002-04-01,0.35,0.37,0.25,0.29,32098620000,0.38572764365721013,12,0,indicator < close
NVDA,0.2793114271165283,-0.21832950225894193,2002-05-01,0.29,0.34,0.26,0.28,27800688000,0.3710003138637932,12,0,indicator < close
NVDA,0.3165252001429415,-0.24042471812053035,2002-06-01,0.27,0.28,0.14,0.14,28839096000,0.35546180403859423,12,0,indicator < close
NVDA,1.3022416727607342,-0.565640735361701,2002-07-01,0.14,0.19,0.09,0.09,32480220000,0.32231383418650283,12,0,indicator < close
NVDA,2.184147159018403,-0.6859441633632674,2002-08-01,0.09,0.11,0.07,0.08,24041412000,0.28657324431165626,12,0,indicator < close
NVDA,2.1849093148348255,-0.6860193176169408,2002-09-01,0.08,0.1,0.07,0.07,17827740000,0.2547927451867861,12,0,indicator < close
NVDA,2.2337584583018093,-0.690762308658902,2002-10-01,0.07,0.1,0.06,0.1,18364572000,0.22636309208112668,12,0,indicator < close
NVDA,1.0692261637633795,-0.5167275489203836,2002-11-01,0.1,0.15,0.09,0.14,34187196000,0.20692261637633796,12,0,indicator < close
NVDA,0.3211019385331885,-0.2430561406106981,2002-12-01,0.15,0.15,0.09,0.1,21906672000,0.19816529077997827,12,0,indicator < close
NVDA,0.8306293835228931,-0.4537397853433426,2003-01-01,0.1,0.12,0.08,0.09,23529132000,0.18306293835228932,12,0,indicator < close
NVDA,0.8749507024574209,-0.466652643885868,2003-02-01,0.09,0.11,0.08,0.11,21243756000,0.16874556322116788,12,0,indicator < close
NVDA,0.45188894785513745,-0.3112420881243768,2003-03-01,0.11,0.12,0.1,0.11,18003156000,0.15970778426406512,12,0,indicator < close
NVDA,0.38236757126203946,-0.276603400724277,2003-04-01,0.11,0.12,0.11,0.12,12578136000,0.15206043283882434,12,0,indicator < close
NVDA,0.22606715463273572,-0.18438399053309065,2003-05-01,0.12,0.22,0.12,0.22,37281804000,0.14712805855592828,12,1,indicator < close
