symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_1_months,moving_average_window_months,condition,screening_rule
NVDA,0.0,0.0,1999-01-01,0.04,0.05,0.04,0.04,4284288000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-02-01,0.04,0.05,0.04,0.05,3146592000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-03-01,0.05,0.05,0.04,0.04,2014512000,0.05,1,0,indicator < high
NVDA,0.0,0.0,1999-04-01,0.04,0.05,0.03,0.04,1767024000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-05-01,0.04,0.04,0.03,0.04,2482512000,0.04,1,0,indicator < high
NVDA,0.0,0.0,1999-06-01,0.04,0.04,0.03,0.04,2366160000,0.04,1,0,indicator < high
NVDA,0.0,0.0,1999-07-01,0.04,0.05,0.04,0.04,3764064000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-08-01,0.04,0.06,0.04,0.06,7894800000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-09-01,0.06,0.06,0.03,0.04,6992640000,0.06,1,0,indicator < high
NVDA,0.0,0.0,1999-10-01,0.04,0.05,0.04,0.05,7953504000,0.04,1,1,indicator < high
NVDA,0.0,0.0,1999-11-01,0.05,0.09,0.05,0.07,13917936000,0.05,1,1,indicator < high
NVDA,0.0,0.0,1999-12-01,0.07,0.1,0.07,0.1,4917552000,0.07,1,1,indicator < high
NVDA,0.0,0.0,2000-01-01,0.1,0.1,0.07,0.08,4941456000,0.1,1,0,indicator < high
NVDA,0.0,0.0,2000-02-01,0.08,0.14,0.07,0.13,9160848000,0.08,1,1,indicator < high
NVDA,0.0,0.0,2000-03-01,0.13,0.31,0.12,0.18,17552160000,0.13,1,1,indicator < high
NVDA,0.0,0.0,2000-04-01,0.17,0.23,0.12,0.19,6481728000,0.17,1,1,indicator < high
NVDA,0.0,0.0,2000-05-01,0.19,0.25,0.16,0.24,8695584000,0.19,1,1,indicator < high
NVDA,0.0,0.0,2000-06-01,0.24,0.37,0.24,0.26,13271304000,0.24,1,1,indicator < high
NVDA,0.0,0.0,2000-07-01,0.27,0.32,0.21,0.25,7280352000,0.27,1,1,indicator < high
NVDA,0.0,0.0,2000-08-01,0.25,0.34,0.22,0.33,6079248000,0.25,1,1,indicator < high
NVDA,0.0,0.0,2000-09-01,0.34,0.36,0.26,0.34,5868576000,0.34,1,1,indicator < high
NVDA,0.0,0.0,2000-10-01,0.35,0.36,0.22,0.26,8841576000,0.35,1,1,indicator < high
NVDA,0.0,0.0,2000-11-01,0.25,0.33,0.15,0.17,8675472000,0.25,1,1,indicator < high
NVDA,0.0,0.0,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.18,1,1,indicator < high
NVDA,0.0,0.0,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.14,1,1,indicator < high
NVDA,0.0,0.0,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.22,1,1,indicator < high
NVDA,0.0,0.0,2001-03-01,0.18,0.3,0.17,0.27,28940472000,0.18,1,1,indicator < high
NVDA,0.0,0.0,2001-04-01,0.27,0.37,0.22,0.35,31102920000,0.27,1,1,indicator < high
NVDA,0.0,0.0,2001-05-01,0.35,0.42,0.31,0.36,28041600000,0.35,1,1,indicator < high
NVDA,0.0,0.0,2001-06-01,0.36,0.41,0.35,0.39,20156760000,0.36,1,1,indicator < high
NVDA,0.0,0.0,2001-07-01,0.37,0.38,0.28,0.34,21604512000,0.37,1,1,indicator < high
NVDA,0.0,0.0,2001-08-01,0.34,0.38,0.33,0.35,29863464000,0.34,1,1,indicator < high
NVDA,0.0,0.0,2001-09-01,0.35,0.35,0.21,0.23,21169188000,0.35,1,0,indicator < high
NVDA,0.0,0.0,2001-10-01,0.23,0.42,0.19,0.36,26377200000,0.23,1,1,indicator < high
NVDA,0.0,0.0,2001-11-01,0.36,0.47,0.36,0.46,28734600000,0.36,1,1,indicator < high
NVDA,0.0,0.0,2001-12-01,0.45,0.59,0.44,0.56,17648640000,0.45,1,1,indicator < high
NVDA,0.0,0.0,2002-01-01,0.56,0.61,0.5,0.55,23589180000,0.56,1,1,indicator < high
NVDA,0.0,0.0,2002-02-01,0.55,0.55,0.41,0.43,30995268000,0.55,1,0,indicator < high
NVDA,0.0,0.0,2002-03-01,0.43,0.5,0.35,0.37,27269724000,0.43,1,1,indicator < high
NVDA,0.0,0.0,2002-04-01,0.35,0.37,0.25,0.29,32098620000,0.35,1,1,indicator < high
NVDA,0.0,0.0,2002-05-01,0.29,0.34,0.26,0.28,27800688000,0.29,1,1,indicator < high
NVDA,0.0,0.0,2002-06-01,0.27,0.28,0.14,0.14,28839096000,0.27,1,1,indicator < high
NVDA,0.0,0.0,2002-07-01,0.14,0.19,0.09,0.09,32480220000,0.14,1,1,indicator < high
NVDA,0.0,0.0,2002-08-01,0.09,0.11,0.07,0.08,24041412000,0.09,1,1,indicator < high
NVDA,0.0,0.0,2002-09-01,0.08,0.1,0.07,0.07,17827740000,0.08,1,1,indicator < high
NVDA,0.0,0.0,2002-10-01,0.07,0.1,0.06,0.1,18364572000,0.07,1,1,indicator < high
NVDA,0.0,0.0,2002-11-01,0.1,0.15,0.09,0.14,34187196000,0.1,1,1,indicator < high
NVDA,0.0,0.0,2002-12-01,0.15,0.15,0.09,0.1,21906672000,0.15,1,0,indicator < high
NVDA,0.0,0.0,2003-01-01,0.1,0.12,0.08,0.09,23529132000,0.1,1,1,indicator < high
NVDA,0.0,0.0,2003-02-01,0.09,0.11,0.08,0.11,21243756000,0.09,1,1,indicator < high
NVDA,0.0,0.0,2003-03-01,0.11,0.12,0.1,0.11,18003156000,0.11,1,1,indicator < high
