symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
NVDA,,,1999-01-01,0.04,0.05,0.04,0.04,4284288000,,12,0,indicator <= low
NVDA,,,1999-02-01,0.04,0.05,0.04,0.05,3146592000,,12,0,indicator <= low
NVDA,,,1999-03-01,0.05,0.05,0.04,0.04,2014512000,,12,0,indicator <= low
NVDA,,,1999-04-01,0.04,0.05,0.03,0.04,1767024000,,12,0,indicator <= low
NVDA,,,1999-05-01,0.04,0.04,0.03,0.04,2482512000,,12,0,indicator <= low
NVDA,,,1999-06-01,0.04,0.04,0.03,0.04,2366160000,,12,0,indicator <= low
NVDA,,,1999-07-01,0.04,0.05,0.04,0.04,3764064000,,12,0,indicator <= low
NVDA,,,1999-08-01,0.04,0.06,0.04,0.06,7894800000,,12,0,indicator <= low
NVDA,,,1999-09-01,0.06,0.06,0.03,0.04,6992640000,,12,0,indicator <= low
NVDA,,,1999-10-01,0.04,0.05,0.04,0.05,7953504000,,12,0,indicator <= low
NVDA,,,1999-11-01,0.05,0.09,0.05,0.07,13917936000,,12,0,indicator <= low
NVDA,-0.3040293040293041,0.43684210526315803,1999-12-01,0.07,0.1,0.07,0.1,4917552000,0.04871794871794872,12,1,indicator <= low
NVDA,-0.42948717948717946,0.7528089887640449,2000-01-01,0.1,0.1,0.07,0.08,4941456000,0.05705128205128206,12,1,indicator <= low
NVDA,-0.23076923076923064,0.2999999999999998,2000-02-01,0.08,0.14,0.07,0.13,9160848000,0.06153846153846155,12,1,indicator <= low
NVDA,-0.43688362919132145,0.775831873905429,2000-03-01,0.13,0.31,0.12,0.18,17552160000,0.07320512820512821,12,1,indicator <= low
NVDA,-0.47058823529411764,0.8888888888888888,2000-04-01,0.17,0.23,0.12,0.19,6481728000,0.09000000000000001,12,1,indicator <= low
NVDA,-0.4304993252361673,0.7559241706161136,2000-05-01,0.19,0.25,0.16,0.24,8695584000,0.10820512820512822,12,1,indicator <= low
NVDA,-0.4492521367521368,0.8157129000969934,2000-06-01,0.24,0.37,0.24,0.26,13271304000,0.13217948717948716,12,1,indicator <= low
NVDA,-0.41405508072174735,0.7066450567260939,2000-07-01,0.27,0.32,0.21,0.25,7280352000,0.15820512820512822,12,1,indicator <= low
NVDA,-0.28717948717948716,0.40287769784172656,2000-08-01,0.25,0.34,0.22,0.33,6079248000,0.1782051282051282,12,1,indicator <= low
NVDA,-0.3842383107088991,0.6240048989589716,2000-09-01,0.34,0.36,0.26,0.34,5868576000,0.20935897435897433,12,1,indicator <= low
NVDA,-0.3186813186813186,0.4677419354838708,2000-10-01,0.35,0.36,0.22,0.26,8841576000,0.23846153846153847,12,0,indicator <= low
NVDA,-0.007179487179487243,0.00723140495867775,2000-11-01,0.25,0.33,0.15,0.17,8675472000,0.2482051282051282,12,0,indicator <= low
NVDA,0.3589743589743592,-0.2641509433962265,2000-12-01,0.18,0.21,0.11,0.14,14453208000,0.24461538461538465,12,0,indicator <= low
NVDA,0.6675824175824174,-0.400329489291598,2001-01-01,0.14,0.24,0.12,0.22,10728648000,0.23346153846153847,12,0,indicator <= low
NVDA,0.064102564102564,-0.060240963855421596,2001-02-01,0.22,0.25,0.17,0.19,11644824000,0.23410256410256408,12,0,indicator <= low
