symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_24_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,24,0,indicator < high
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,24,0,indicator < high
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,24,0,indicator < high
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,24,0,indicator < high
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,24,0,indicator < high
500.PA,,,2010-11-01,13.39,0.0,0.0,14.26,0,,24,0,indicator < high
500.PA,,,2010-12-01,14.52,0.0,0.0,14.75,0,,24,0,indicator < high
500.PA,,,2011-01-01,14.98,0.0,0.0,14.77,0,,24,0,indicator < high
500.PA,,,2011-02-01,14.93,0.0,0.0,15.15,0,,24,0,indicator < high
500.PA,,,2011-03-01,14.9,0.0,0.0,14.75,0,,24,0,indicator < high
500.PA,,,2011-04-01,14.87,0.0,0.0,14.52,0,,24,0,indicator < high
500.PA,,,2011-05-01,14.44,0.0,0.0,14.8,0,,24,0,indicator < high
500.PA,,,2011-06-01,14.42,0.0,0.0,14.42,0,,24,0,indicator < high
500.PA,,,2011-07-01,14.65,0.0,0.0,14.25,0,,24,0,indicator < high
500.PA,,,2011-08-01,14.36,0.0,0.0,13.44,0,,24,0,indicator < high
500.PA,,,2011-09-01,13.42,0.0,0.0,13.4,0,,24,0,indicator < high
500.PA,,,2011-10-01,13.16,0.0,0.0,14.29,0,,24,0,indicator < high
500.PA,,,2011-11-01,14.17,0.0,0.0,14.77,0,,24,0,indicator < high
500.PA,,,2011-12-01,14.73,0.0,0.0,15.46,0,,24,0,indicator < high
500.PA,,,2012-01-01,15.46,0.0,0.0,16.01,0,,24,0,indicator < high
500.PA,,,2012-02-01,16.03,0.0,0.0,16.33,0,,24,0,indicator < high
500.PA,,,2012-03-01,16.49,0.0,0.0,16.94,0,,24,0,indicator < high
500.PA,,,2012-04-01,17.09,0.0,0.0,16.93,0,,24,0,indicator < high
500.PA,-0.1477959820557831,0.1734279338559249,2012-05-01,17.09,0.0,0.0,17.02,0,14.564166666666667,24,0,indicator < high
500.PA,-0.11583835341365466,0.13101490418736697,2012-06-01,16.6,0.0,0.0,17.26,0,14.677083333333334,24,0,indicator < high
500.PA,-0.1480420248328558,0.17376681614349782,2012-07-01,17.45,0.0,0.0,18.02,0,14.866666666666665,24,0,indicator < high
500.PA,-0.16333333333333322,0.19521912350597592,2012-08-01,18.0,0.0,0.0,17.99,0,15.060000000000002,24,0,indicator < high
500.PA,-0.15314002959674436,0.18083276450511948,2012-09-01,18.02,0.0,0.0,18.07,0,15.260416666666666,24,0,indicator < high
500.PA,-0.14352620893318557,0.16757805134283316,2012-10-01,18.06,0.0,0.0,17.6,0,15.467916666666667,24,0,indicator < high
500.PA,-0.12210226210506621,0.13908483509463074,2012-11-01,17.83,0.0,0.0,17.64,0,15.652916666666668,24,0,indicator < high
500.PA,-0.09697576798320928,0.10738999524589293,2012-12-01,17.47,0.0,0.0,17.56,0,15.775833333333333,24,0,indicator < high
