symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_24_months,moving_average_window_months,condition,screening_rule
SPY,0.0,0.0,1993-01-01,43.97,43.97,43.75,43.94,1003200,43.97,24,0,indicator <= close
SPY,0.0,0.0,1993-02-01,43.97,45.12,42.81,44.41,5417600,43.97,24,1,indicator <= close
SPY,-0.012181328545780962,0.0123315431240515,1993-03-01,44.56,45.84,44.22,45.19,3019200,44.0172,24,1,indicator <= close
SPY,-0.02506466298342534,0.025709051699906962,1993-04-01,45.25,45.25,43.28,44.03,2697200,44.115824,24,0,indicator <= close
SPY,0.0005388541619414912,-0.0005385639545131301,1993-05-01,44.09,45.66,43.84,45.22,1808000,44.113758080000004,24,1,indicator <= close
SPY,-0.025670836632877773,0.026347191070586005,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.21505743360001,24,1,indicator <= close
SPY,-0.018451843109219577,0.018798714031177957,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.28745283891201,24,1,indicator <= close
SPY,-0.012753137123156266,0.01291788062612176,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.33725661179905,24,1,indicator <= close
SPY,-0.041088642903358605,0.04284926088242961,1993-09-01,46.41,46.59,44.81,45.94,4369900,44.503076082855124,24,1,indicator <= close
SPY,-0.027610505749199835,0.028394492034771502,1993-10-01,45.88,47.16,45.72,46.84,6972900,44.613229996226714,24,1,indicator <= close
SPY,-0.04261283461888456,0.04450951105232468,1993-11-01,46.78,47.0,45.53,46.34,5351100,44.78657159652858,24,1,indicator <= close
SPY,-0.03561180792431228,0.0369268394376166,1993-12-01,46.59,47.16,46.38,46.59,6128000,44.930845868806294,24,1,indicator <= close
SPY,-0.032762863290367226,0.03387262755627912,1994-01-01,46.59,48.31,46.41,48.22,6837100,45.063578199301794,24,1,indicator <= close
SPY,-0.059150914797390874,0.0628697160125876,1994-02-01,48.16,48.28,46.56,46.81,10974400,45.31129194335765,24,1,indicator <= close
SPY,-0.029455488402285044,0.03034944616171728,1994-03-01,46.81,47.31,43.53,44.59,14705500,45.43118858788904,24,0,indicator <= close
SPY,0.044390712987030796,-0.0425039330923101,1994-04-01,43.34,45.36,43.34,45.09,11429000,45.26389350085792,24,0,indicator <= close
SPY,0.0035480598977442033,-0.0035355156763550817,1994-05-01,45.09,45.94,44.17,45.81,8545100,45.24998202078929,24,1,indicator <= close
SPY,-0.009059442907524124,0.009142266751201996,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.28598345912615,24,0,indicator <= close
