symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_24_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,24,0,indicator <= open
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,24,0,indicator <= open
SPY,,,1993-03-01,44.56,45.84,44.22,45.19,3019200,,24,0,indicator <= open
SPY,,,1993-04-01,45.25,45.25,43.28,44.03,2697200,,24,0,indicator <= open
SPY,,,1993-05-01,44.09,45.66,43.84,45.22,1808000,,24,0,indicator <= open
SPY,,,1993-06-01,45.38,45.81,44.22,45.06,3438000,,24,0,indicator <= open
SPY,,,1993-07-01,45.12,45.22,44.16,44.84,6117600,,24,0,indicator <= open
SPY,,,1993-08-01,44.91,46.56,44.84,46.56,5440100,,24,0,indicator <= open
SPY,,,1993-09-01,46.41,46.59,44.81,45.94,4369900,,24,0,indicator <= open
SPY,,,1993-10-01,45.88,47.16,45.72,46.84,6972900,,24,0,indicator <= open
SPY,,,1993-11-01,46.78,47.0,45.53,46.34,5351100,,24,0,indicator <= open
SPY,,,1993-12-01,46.59,47.16,46.38,46.59,6128000,,24,0,indicator <= open
SPY,,,1994-01-01,46.59,48.31,46.41,48.22,6837100,,24,0,indicator <= open
SPY,,,1994-02-01,48.16,48.28,46.56,46.81,10974400,,24,0,indicator <= open
SPY,,,1994-03-01,46.81,47.31,43.53,44.59,14705500,,24,0,indicator <= open
SPY,,,1994-04-01,43.34,45.36,43.34,45.09,11429000,,24,0,indicator <= open
SPY,,,1994-05-01,45.09,45.94,44.17,45.81,8545100,,24,0,indicator <= open
SPY,,,1994-06-01,45.7,46.56,44.0,44.47,10352700,,24,0,indicator <= open
SPY,,,1994-07-01,44.69,46.05,44.38,45.91,5452100,,24,0,indicator <= open
SPY,,,1994-08-01,45.94,47.98,45.66,47.66,7945800,,24,0,indicator <= open
SPY,,,1994-09-01,47.5,47.72,45.73,46.17,6309300,,24,0,indicator <= open
SPY,,,1994-10-01,46.2,47.7,45.0,47.48,5437600,,24,0,indicator <= open
SPY,,,1994-11-01,47.28,47.33,44.61,45.59,4807300,,24,0,indicator <= open
SPY,0.0074371895997664165,-0.0073822861380778045,1994-12-01,45.64,46.41,44.69,45.56,8568500,45.97943333333334,24,0,indicator <= open
SPY,0.006183807439824993,-0.006145802977648114,1995-01-01,45.7,47.23,45.69,47.09,2768000,45.982600000000005,24,0,indicator <= open
SPY,-0.022544529262086405,0.02306450773155609,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.0968,24,1,indicator <= open
SPY,-0.05360084405418287,0.05663661438985011,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.345166666666664,24,1,indicator <= open
SPY,-0.06830837825247894,0.07331651016068685,1995-04-01,50.09,51.67,50.06,51.59,4395200,46.66843333333333,24,1,indicator <= open
SPY,-0.08647203362431284,0.09465723744329392,1995-05-01,51.55,53.64,51.39,53.64,6986200,47.09236666666667,24,1,indicator <= open
SPY,-0.1080278349872058,0.12111121761928108,1995-06-01,53.41,55.16,52.75,54.41,5790900,47.640233333333335,24,1,indicator <= open
SPY,-0.11426228504987467,0.12900239328333063,1995-07-01,54.47,56.7,54.2,56.16,5508200,48.246133333333326,24,1,indicator <= open
SPY,-0.12926077420119741,0.14844946727031347,1995-08-01,56.23,56.8,55.42,56.41,8100100,48.961666666666666,24,1,indicator <= open
SPY,-0.11948454217650879,0.13569840383252052,1995-09-01,56.39,58.91,56.34,58.48,7431600,49.65226666666667,24,1,indicator <= open
SPY,-0.13685362517099864,0.1585520476733866,1995-10-01,58.48,59.19,57.27,58.31,8944800,50.4768,24,1,indicator <= open
SPY,-0.12073896133607874,0.1373186756000781,1995-11-01,58.28,61.2,58.23,60.91,8841700,51.24333333333333,24,1,indicator <= open
SPY,-0.144186071936154,0.16847829558272545,1995-12-01,60.98,62.8,60.58,61.48,9816800,52.18753333333333,24,1,indicator <= open
SPY,-0.13502415458937192,0.15610164758447354,1996-01-01,61.41,63.69,59.64,63.67,10661800,53.11816666666667,24,1,indicator <= open
SPY,-0.14831944662788873,0.17414915256740152,1996-02-01,63.61,66.69,63.44,63.88,14850400,54.175399999999996,24,1,indicator <= open
SPY,-0.14505672442244233,0.16966824415859535,1996-03-01,64.64,65.97,62.0,64.69,19022700,55.26353333333333,24,1,indicator <= open
SPY,-0.133522564102564,0.1540981433224176,1996-04-01,65.0,65.81,62.12,65.39,14999300,56.32103333333334,24,1,indicator <= open
SPY,-0.12302335066789041,0.14028121588138395,1996-05-01,65.38,68.44,63.08,66.88,17453200,57.33673333333332,24,1,indicator <= open
SPY,-0.12684108237404695,0.14526689221581493,1996-06-01,66.89,68.5,66.16,67.11,16871800,58.4056,24,1,indicator <= open
SPY,-0.11660176377328584,0.13199229859381484,1996-07-01,67.28,67.7,60.38,64.09,28811500,59.43503333333333,24,1,indicator <= open
SPY,-0.06266261429758942,0.06685171769888604,1996-08-01,64.16,67.34,64.06,65.33,15593100,60.13956666666666,24,1,indicator <= open
SPY,-0.056799027971666305,0.06021943324498617,1996-09-01,64.47,69.25,64.38,68.62,17216100,60.80816666666667,24,1,indicator <= open
SPY,-0.1010393013100438,0.11239568254461742,1996-10-01,68.7,71.62,68.44,70.84,14791800,61.758599999999994,24,1,indicator <= open
SPY,-0.11501221001221003,0.12995909244555434,1996-11-01,70.98,76.69,70.27,76.02,24089700,62.816433333333336,24,1,indicator <= open
SPY,-0.15449859501229368,0.18273014580565966,1996-12-01,75.92,76.58,71.88,73.84,34952800,64.19046666666667,24,1,indicator <= open
SPY,-0.12153311822174412,0.138346841232908,1997-01-01,74.38,79.69,72.75,78.41,43623700,65.34036666666667,24,1,indicator <= open
