symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,3,0,indicator < high
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,3,0,indicator < high
MSFT,-0.090909090909091,0.1000000000000001,1986-05-01,0.11,0.12,0.11,0.12,333446400,0.09999999999999999,3,1,indicator < high
MSFT,-0.0833333333333333,0.09090909090909087,1986-06-01,0.12,0.12,0.1,0.11,293788800,0.11,3,1,indicator < high
MSFT,0.030303030303030245,-0.0294117647058823,1986-07-01,0.11,0.11,0.09,0.1,460800000,0.11333333333333333,3,0,indicator < high
MSFT,0.09999999999999995,-0.09090909090909087,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.11,3,0,indicator < high
MSFT,0.03333333333333341,-0.0322580645161291,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.10333333333333335,3,1,indicator < high
MSFT,0.0,0.0,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.1,3,1,indicator < high
MSFT,-0.1904761904761905,0.23529411764705885,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.11333333333333334,3,1,indicator < high
MSFT,-0.19607843137254896,0.24390243902439016,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.1366666666666667,3,1,indicator < high
MSFT,-0.058823529411764594,0.06249999999999987,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.16000000000000003,3,1,indicator < high
MSFT,-0.21333333333333326,0.271186440677966,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.19666666666666668,3,1,indicator < high
MSFT,-0.14814814814814817,0.1739130434782609,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.23,3,1,indicator < high
MSFT,-0.15686274509803924,0.186046511627907,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.2866666666666667,3,1,indicator < high
MSFT,-0.10185185185185189,0.11340206185567016,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.3233333333333333,3,1,indicator < high
MSFT,-0.08333333333333331,0.09090909090909088,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.3666666666666667,3,1,indicator < high
MSFT,0.05714285714285704,-0.05405405405405396,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.36999999999999994,3,1,indicator < high
MSFT,0.09090909090909098,-0.0833333333333334,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.36000000000000004,3,1,indicator < high
MSFT,-0.11382113821138218,0.12844036697247715,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.3633333333333333,3,1,indicator < high
MSFT,-0.1304347826086955,0.14999999999999983,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.4000000000000001,3,1,indicator < high
MSFT,0.18627450980392146,-0.15702479338842967,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.4033333333333333,3,0,indicator < high
MSFT,0.19354838709677435,-0.16216216216216228,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.37000000000000005,3,1,indicator < high
MSFT,-0.09649122807017547,0.10679611650485442,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.3433333333333333,3,1,indicator < high
MSFT,-0.07692307692307684,0.08333333333333325,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.36000000000000004,3,1,indicator < high
MSFT,-0.04065040650406503,0.042372881355932195,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.3933333333333333,3,1,indicator < high
MSFT,0.01709401709401706,-0.0168067226890756,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.39666666666666667,3,1,indicator < high
MSFT,0.03508771929824555,-0.0338983050847457,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.3933333333333333,3,1,indicator < high
MSFT,-0.024999999999999883,0.025641025641025515,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.39000000000000007,3,1,indicator < high
MSFT,-0.11347517730496445,0.1279999999999999,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.4166666666666667,3,1,indicator < high
MSFT,0.04065040650406517,-0.03906250000000012,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.4266666666666667,3,0,indicator < high
MSFT,0.19607843137254896,-0.16393442622950816,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.4066666666666667,3,0,indicator < high
MSFT,0.027777777777777648,-0.027027027027026907,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.36999999999999994,3,1,indicator < high
MSFT,0.019607843137254864,-0.019230769230769194,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.3466666666666667,3,1,indicator < high
MSFT,0.040404040404040324,-0.03883495145631061,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.3433333333333333,3,1,indicator < high
MSFT,-0.06306306306306302,0.06730769230769226,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.3466666666666667,3,1,indicator < high
MSFT,-0.09756097560975618,0.10810810810810823,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.36999999999999994,3,1,indicator < high
MSFT,-0.047619047619047665,0.05000000000000005,1989-03-01,0.42,0.43,0.32,0.35,3058704000,0.39999999999999997,3,1,indicator < high
MSFT,0.12380952380952383,-0.11016949152542374,1989-04-01,0.35,0.39,0.33,0.39,1134820800,0.3933333333333333,3,0,indicator < high
MSFT,0.008771929824561315,-0.008695652173912955,1989-05-01,0.38,0.42,0.35,0.42,1258977600,0.3833333333333333,3,1,indicator < high
MSFT,-0.08730158730158734,0.09565217391304352,1989-06-01,0.42,0.42,0.36,0.37,1072584000,0.3833333333333333,3,1,indicator < high
MSFT,0.05405405405405395,-0.05128205128205119,1989-07-01,0.37,0.4,0.36,0.38,1221019200,0.38999999999999996,3,1,indicator < high
MSFT,0.026315789473684088,-0.025641025641025526,1989-08-01,0.38,0.42,0.38,0.41,1380729600,0.38999999999999996,3,1,indicator < high
MSFT,-0.05691056910569102,0.06034482758620686,1989-09-01,0.41,0.48,0.4,0.48,1284523200,0.38666666666666666,3,1,indicator < high
MSFT,-0.10638297872340424,0.11904761904761903,1989-10-01,0.47,0.6,0.47,0.57,2608992000,0.42,3,1,indicator < high
MSFT,-0.1520467836257311,0.17931034482758637,1989-11-01,0.57,0.62,0.53,0.6,1835870400,0.4833333333333332,3,1,indicator < high
MSFT,-0.09836065573770501,0.1090909090909092,1989-12-01,0.61,0.61,0.52,0.6,1460664000,0.5499999999999999,3,1,indicator < high
MSFT,-0.021857923497267718,0.022346368715083758,1990-01-01,0.61,0.67,0.58,0.64,2380968000,0.5966666666666667,3,1,indicator < high
MSFT,-0.03125000000000003,0.03225806451612906,1990-02-01,0.64,0.7,0.64,0.69,1429344000,0.62,3,1,indicator < high
MSFT,-0.053921568627450914,0.056994818652849666,1990-03-01,0.68,0.81,0.68,0.77,1717819200,0.6433333333333334,3,1,indicator < high
MSFT,-0.08771929824561402,0.09615384615384613,1990-04-01,0.76,0.88,0.76,0.81,1200837600,0.6933333333333334,3,1,indicator < high
MSFT,-0.08130081300813007,0.08849557522123892,1990-05-01,0.82,1.09,0.79,1.01,1634767200,0.7533333333333333,3,1,indicator < high
MSFT,-0.15032679738562102,0.17692307692307704,1990-06-01,1.02,1.08,0.99,1.06,1165960800,0.8666666666666666,3,1,indicator < high
MSFT,-0.08805031446540884,0.09655172413793107,1990-07-01,1.06,1.12,0.91,0.92,1548979200,0.9666666666666667,3,1,indicator < high
MSFT,0.08695652173913039,-0.07999999999999996,1990-08-01,0.92,0.93,0.7,0.85,1983837600,1.0,3,0,indicator < high
MSFT,0.1098039215686275,-0.09893992932862196,1990-09-01,0.85,0.88,0.76,0.88,1270843200,0.9433333333333334,3,0,indicator < high
MSFT,-0.01111111111111112,0.011235955056179785,1990-10-01,0.9,0.95,0.74,0.89,2198116800,0.89,3,1,indicator < high
MSFT,-0.003787878787878875,0.003802281368821381,1990-11-01,0.88,1.03,0.87,1.0,1253152800,0.8766666666666666,3,1,indicator < high
MSFT,-0.08496732026143802,0.09285714285714299,1990-12-01,1.02,1.07,0.98,1.05,960004800,0.9333333333333332,3,1,indicator < high
MSFT,-0.05769230769230763,0.061224489795918303,1991-01-01,1.04,1.38,1.01,1.36,2219774400,0.9800000000000001,3,1,indicator < high
MSFT,-0.16908212560386462,0.20348837209302312,1991-02-01,1.38,1.51,1.35,1.44,1781582400,1.1466666666666667,3,1,indicator < high
MSFT,-0.1025641025641026,0.11428571428571434,1991-03-01,1.43,1.57,1.29,1.47,1932552000,1.2833333333333332,3,1,indicator < high
MSFT,-0.029478458049886698,0.030373831775701018,1991-04-01,1.47,1.63,1.33,1.38,1985781600,1.4266666666666665,3,1,indicator < high
MSFT,0.03892944038929416,-0.03747072599531594,1991-05-01,1.37,1.56,1.34,1.52,1462701600,1.4233333333333331,3,1,indicator < high
MSFT,-0.04385964912280701,0.04587155963302751,1991-06-01,1.52,1.59,1.35,1.42,1295402400,1.4533333333333334,3,1,indicator < high
MSFT,0.006993006993007155,-0.006944444444444604,1991-07-01,1.43,1.54,1.26,1.53,1587283200,1.4400000000000002,3,1,indicator < high
MSFT,-0.028138528138528067,0.02895322939866362,1991-08-01,1.54,1.81,1.49,1.78,1281158400,1.4966666666666668,3,1,indicator < high
MSFT,-0.10734463276836155,0.12025316455696199,1991-09-01,1.77,1.88,1.67,1.85,834076800,1.58,3,1,indicator < high
MSFT,-0.07027027027027033,0.07558139534883727,1991-10-01,1.85,1.98,1.8,1.96,1061928000,1.72,3,1,indicator < high
MSFT,-0.04786324786324783,0.050269299820466753,1991-11-01,1.95,2.12,1.89,2.03,887236800,1.8566666666666667,3,1,indicator < high
MSFT,-0.036484245439469175,0.037865748709122043,1991-12-01,2.01,2.33,2.0,2.32,808771200,1.9366666666666668,3,1,indicator < high
MSFT,-0.09523809523809532,0.10526315789473695,1992-01-01,2.31,2.78,2.28,2.51,1468929600,2.09,3,1,indicator < high
MSFT,-0.08130081300813015,0.08849557522123902,1992-02-01,2.46,2.69,2.35,2.57,1394030400,2.26,3,1,indicator < high
MSFT,-0.05038759689922494,0.05306122448979606,1992-03-01,2.58,2.71,2.43,2.47,1204272000,2.4499999999999997,3,1,indicator < high
MSFT,0.021857923497267718,-0.021390374331550763,1992-04-01,2.44,2.69,2.23,2.3,2138961600,2.493333333333333,3,1,indicator < high
MSFT,0.06086956521739136,-0.05737704918032792,1992-05-01,2.3,2.55,2.28,2.52,1069233600,2.44,3,1,indicator < high
MSFT,-0.03718459495351923,0.03862068965517239,1992-06-01,2.51,2.59,2.05,2.19,1576800000,2.4166666666666665,3,1,indicator < high
MSFT,0.06212121212121194,-0.058487874465049765,1992-07-01,2.2,2.34,2.05,2.27,1245196800,2.3366666666666664,3,1,indicator < high
MSFT,0.024963289280469887,-0.024355300859598843,1992-08-01,2.27,2.34,2.12,2.33,889324800,2.3266666666666667,3,1,indicator < high
MSFT,-0.021645021645021568,0.022123893805309654,1992-09-01,2.31,2.56,2.29,2.52,1002921600,2.2600000000000002,3,1,indicator < high
MSFT,-0.05600000000000005,0.05932203389830514,1992-10-01,2.5,2.82,2.37,2.77,1146720000,2.36,3,1,indicator < high
MSFT,-0.08992805755395684,0.09881422924901187,1992-11-01,2.78,2.97,2.73,2.91,1227161600,2.53,3,1,indicator < high
MSFT,-0.05977011494252874,0.06356968215158924,1992-12-01,2.9,2.94,2.66,2.67,1133328000,2.7266666666666666,3,1,indicator < high
MSFT,0.04511278195488709,-0.043165467625899165,1993-01-01,2.66,2.94,2.64,2.7,1411331200,2.78,3,1,indicator < high
MSFT,0.01975308641975321,-0.019370460048426272,1993-02-01,2.7,2.82,2.4,2.61,1548342400,2.753333333333334,3,1,indicator < high
MSFT,0.015267175572519097,-0.015037593984962419,1993-03-01,2.62,2.95,2.54,2.89,1197958400,2.66,3,1,indicator < high
MSFT,-0.05305651672433679,0.05602923264311814,1993-04-01,2.89,2.96,2.49,2.67,1298633600,2.736666666666667,3,1,indicator < high
MSFT,0.0212234706616729,-0.02078239608801955,1993-05-01,2.67,2.98,2.64,2.89,1304448000,2.7266666666666666,3,1,indicator < high
MSFT,-0.029782359679266818,0.030696576151121525,1993-06-01,2.91,3.06,2.71,2.75,1216211200,2.8233333333333337,3,1,indicator < high
MSFT,0.00724637681159421,-0.007194244604316554,1993-07-01,2.76,2.77,2.25,2.31,1953414400,2.78,3,0,indicator < high
MSFT,0.14102564102564105,-0.12359550561797755,1993-08-01,2.34,2.48,2.2,2.35,1871481600,2.67,3,0,indicator < high
MSFT,0.05673758865248207,-0.05369127516778505,1993-09-01,2.35,2.63,2.29,2.58,1162460800,2.483333333333333,3,1,indicator < high
MSFT,-0.06072351421188633,0.06464924346629988,1993-10-01,2.58,2.68,2.44,2.5,1370752000,2.4233333333333333,3,1,indicator < high
MSFT,-0.011952191235059684,0.012096774193548309,1993-11-01,2.51,2.59,2.38,2.5,966515200,2.48,3,1,indicator < high
MSFT,0.00661375661375659,-0.006570302233902737,1993-12-01,2.52,2.7,2.48,2.52,934784000,2.5366666666666666,3,1,indicator < high
