symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_24_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,24,0,indicator < close
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,24,0,indicator < close
MSFT,,,1986-05-01,0.11,0.12,0.11,0.12,333446400,,24,0,indicator < close
MSFT,,,1986-06-01,0.12,0.12,0.1,0.11,293788800,,24,0,indicator < close
MSFT,,,1986-07-01,0.11,0.11,0.09,0.1,460800000,,24,0,indicator < close
MSFT,,,1986-08-01,0.1,0.11,0.09,0.1,266256000,,24,0,indicator < close
MSFT,,,1986-09-01,0.1,0.11,0.09,0.1,285120000,,24,0,indicator < close
MSFT,,,1986-10-01,0.1,0.14,0.1,0.13,1565712000,,24,0,indicator < close
MSFT,,,1986-11-01,0.14,0.18,0.14,0.17,1053964800,,24,0,indicator < close
MSFT,,,1986-12-01,0.17,0.17,0.16,0.17,721526400,,24,0,indicator < close
MSFT,,,1987-01-01,0.17,0.27,0.16,0.25,1961596800,,24,0,indicator < close
MSFT,,,1987-02-01,0.25,0.28,0.23,0.27,1834272000,,24,0,indicator < close
MSFT,,,1987-03-01,0.27,0.34,0.26,0.34,1783324800,,24,0,indicator < close
MSFT,,,1987-04-01,0.34,0.38,0.31,0.36,2118585600,,24,0,indicator < close
MSFT,,,1987-05-01,0.36,0.45,0.36,0.4,2192054400,,24,0,indicator < close
MSFT,,,1987-06-01,0.4,0.4,0.33,0.35,1729353600,,24,0,indicator < close
MSFT,,,1987-07-01,0.35,0.37,0.31,0.33,1813536000,,24,0,indicator < close
MSFT,,,1987-08-01,0.33,0.42,0.32,0.41,2034921600,,24,0,indicator < close
MSFT,,,1987-09-01,0.41,0.46,0.37,0.46,1554912000,,24,0,indicator < close
MSFT,,,1987-10-01,0.46,0.55,0.26,0.35,3567225600,,24,0,indicator < close
MSFT,,,1987-11-01,0.34,0.36,0.28,0.31,1550188800,,24,0,indicator < close
MSFT,,,1987-12-01,0.31,0.39,0.28,0.38,1780200000,,24,0,indicator < close
MSFT,,,1988-01-01,0.38,0.43,0.36,0.39,1966795200,,24,0,indicator < close
MSFT,-0.20863247863247855,0.26363538179069,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.30863333333333337,24,1,indicator < close
MSFT,-0.21520325203252033,0.2742152698642909,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.32176666666666665,24,1,indicator < close
MSFT,-0.14811965811965802,0.17387378348550203,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.3322333333333334,24,1,indicator < close
MSFT,-0.10280701754385972,0.11458740711771616,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.3409333333333333,24,1,indicator < close
MSFT,-0.12416666666666673,0.14176974310180787,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.35033333333333333,24,1,indicator < close
MSFT,-0.22468085106382973,0.28979143798024143,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.3644,24,1,indicator < close
MSFT,-0.09154471544715428,0.1007696438160012,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.3724666666666667,24,0,indicator < close
MSFT,0.0997058823529413,-0.090665953463493,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.37390000000000007,24,0,indicator < close
MSFT,0.044814814814814814,-0.04289259127968805,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.3761333333333333,24,0,indicator < close
MSFT,0.10558823529411761,-0.0955041234370843,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.3759,24,0,indicator < close
MSFT,0.1339393939393938,-0.11811865312667014,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.3742,24,0,indicator < close
MSFT,0.013963963963963927,-0.013771657041314935,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.37516666666666665,24,1,indicator < close
MSFT,-0.07642276422764226,0.08274647887323941,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.37866666666666665,24,1,indicator < close
