symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,12,0,indicator > low
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,12,0,indicator > low
MSFT,,,1986-05-01,0.11,0.12,0.11,0.12,333446400,,12,0,indicator > low
MSFT,,,1986-06-01,0.12,0.12,0.1,0.11,293788800,,12,0,indicator > low
MSFT,,,1986-07-01,0.11,0.11,0.09,0.1,460800000,,12,0,indicator > low
MSFT,,,1986-08-01,0.1,0.11,0.09,0.1,266256000,,12,0,indicator > low
MSFT,,,1986-09-01,0.1,0.11,0.09,0.1,285120000,,12,0,indicator > low
MSFT,,,1986-10-01,0.1,0.14,0.1,0.13,1565712000,,12,0,indicator > low
MSFT,,,1986-11-01,0.14,0.18,0.14,0.17,1053964800,,12,0,indicator > low
MSFT,,,1986-12-01,0.17,0.17,0.16,0.17,721526400,,12,0,indicator > low
MSFT,,,1987-01-01,0.17,0.27,0.16,0.25,1961596800,,12,0,indicator > low
MSFT,-0.4061538461538461,0.6839378238341967,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.14846153846153848,12,0,indicator > low
MSFT,-0.37037037037037035,0.5882352941176471,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.17,12,0,indicator > low
MSFT,-0.411764705882353,0.7000000000000001,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.2,12,0,indicator > low
MSFT,-0.36111111111111105,0.5652173913043477,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.23,12,0,indicator > low
MSFT,-0.3426282051282051,0.5212091662603606,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.262948717948718,12,0,indicator > low
MSFT,-0.1868131868131868,0.22972972972972971,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.2846153846153846,12,0,indicator > low
MSFT,-0.0905205905205905,0.09953011533532675,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.30012820512820515,12,0,indicator > low
MSFT,-0.2073170731707319,0.26153846153846183,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.3249999999999999,12,0,indicator > low
MSFT,-0.23132664437012265,0.30094271211022483,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.3535897435897436,12,1,indicator > low
MSFT,0.05618401206636487,-0.05319528739735796,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.3591025641025641,12,1,indicator > low
MSFT,0.15301902398676573,-0.13271162123385927,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.3574358974358974,12,1,indicator > low
MSFT,-0.04014844804318509,0.04182776801405998,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.36474358974358967,12,1,indicator > low
MSFT,-0.048980933596318235,0.051503629450397534,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.3708974358974359,12,1,indicator > low
MSFT,-0.07723577235772361,0.0837004405286344,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.3783333333333333,12,0,indicator > low
MSFT,-0.02333990795529257,0.023897677549646584,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.3808974358974359,12,1,indicator > low
MSFT,0.0033738191632928355,-0.0033624747814391272,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.3812820512820513,12,1,indicator > low
MSFT,-0.038782051282051366,0.04034678226075367,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.3844871794871795,12,0,indicator > low
MSFT,-0.15220949263502434,0.17953667953667926,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.39846153846153853,12,1,indicator > low
MSFT,-0.020325203252032315,0.020746887966804763,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.4016666666666667,12,1,indicator > low
MSFT,0.1561085972850677,-0.13502935420743628,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.39307692307692305,12,1,indicator > low
MSFT,0.07905982905982928,-0.07326732673267346,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.3884615384615385,12,1,indicator > low
MSFT,0.12368024132730016,-0.11006711409395974,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.3820512820512821,12,1,indicator > low
MSFT,0.13364413364413358,-0.117888965044551,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.3741025641025641,12,1,indicator > low
MSFT,0.005544005544005614,-0.005513439007581048,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.3720512820512821,12,1,indicator > low
MSFT,-0.08223889931207,0.08960817717206128,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.3762820512820513,12,0,indicator > low
MSFT,-0.09096459096459088,0.10006715916722622,1989-03-01,0.42,0.43,0.32,0.35,3058704000,0.3817948717948718,12,1,indicator > low
MSFT,0.07545787545787545,-0.07016348773841961,1989-04-01,0.35,0.39,0.33,0.39,1134820800,0.3764102564102564,12,1,indicator > low
MSFT,-0.010121457489878506,0.010224948875255586,1989-05-01,0.38,0.42,0.35,0.42,1258977600,0.37615384615384617,12,1,indicator > low
MSFT,-0.09035409035409038,0.09932885906040272,1989-06-01,0.42,0.42,0.36,0.37,1072584000,0.382051282051282,12,1,indicator > low
