symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
500.PA,0.0,0.0,2010-06-01,13.89,0.0,0.0,13.16,0,13.89,12,1,indicator <= open
500.PA,0.06493738819320215,-0.060977658323534356,2010-07-01,12.9,0.0,0.0,13.23,0,13.737692307692308,12,0,indicator <= open
500.PA,0.023921092725791054,-0.02336224236001474,2010-08-01,13.36,0.0,0.0,12.94,0,13.679585798816568,12,0,indicator <= open
500.PA,0.030078866750027564,-0.029200547376463062,2010-09-01,13.21,0.0,0.0,13.11,0,13.607341829767865,12,0,indicator <= open
500.PA,0.034114091551673144,-0.03298871162318797,2010-10-01,13.08,0.0,0.0,13.36,0,13.526212317495885,12,0,indicator <= open
500.PA,0.008607660667861974,-0.008534201160203666,2010-11-01,13.39,0.0,0.0,14.26,0,13.505256576342672,12,0,indicator <= open
500.PA,-0.05913423214786294,0.06285087009048909,2010-12-01,14.52,0.0,0.0,14.75,0,13.66137094921303,12,1,indicator <= open
500.PA,-0.07448351421719561,0.08047778225603107,2011-01-01,14.98,0.0,0.0,14.77,0,13.86423695702641,12,1,indicator <= open
500.PA,-0.06040184178839445,0.0642847596714759,2011-02-01,14.93,0.0,0.0,15.15,0,14.02820050209927,12,1,indicator <= open
500.PA,-0.04950848981367073,0.052087250946581676,2011-03-01,14.9,0.0,0.0,14.75,0,14.162323501776307,12,1,indicator <= open
500.PA,-0.04026921256251936,0.04195886293284366,2011-04-01,14.87,0.0,0.0,14.52,0,14.271196809195336,12,1,indicator <= open
500.PA,-0.009891514483546263,0.00999033401717259,2011-05-01,14.44,0.0,0.0,14.8,0,14.297166530857591,12,1,indicator <= open
500.PA,-0.0072077678468286666,0.007260096940118511,2011-06-01,14.42,0.0,0.0,14.42,0,14.31606398764873,12,1,indicator <= open
500.PA,-0.019287456738587394,0.019666778885529406,2011-07-01,14.65,0.0,0.0,14.25,0,14.367438758779695,12,1,indicator <= open
500.PA,0.0004383241192235733,-0.00043813207536753425,2011-08-01,14.36,0.0,0.0,13.44,0,14.36629433435205,12,0,indicator <= open
500.PA,0.059665468748552976,-0.0563059479696143,2011-09-01,13.42,0.0,0.0,13.4,0,14.22071059060558,12,0,indicator <= open
500.PA,0.06820093813807211,-0.06384654394420376,2011-10-01,13.16,0.0,0.0,14.29,0,14.05752434589703,12,0,indicator <= open
500.PA,-0.006716422534784688,0.006761837895200575,2011-11-01,14.17,0.0,0.0,14.77,0,14.074828292682101,12,1,indicator <= open
500.PA,-0.03763584928976394,0.039107700824046944,2011-12-01,14.73,0.0,0.0,15.46,0,14.175623939961778,12,1,indicator <= open
500.PA,-0.07029623176644673,0.07561143040219176,2012-01-01,15.46,0.0,0.0,16.01,0,14.373220256890734,12,1,indicator <= open
500.PA,-0.08745418289842088,0.0958353884917167,2012-02-01,16.03,0.0,0.0,16.33,0,14.628109448138314,12,1,indicator <= open
500.PA,-0.09553946947090788,0.10563144133555405,2012-03-01,16.49,0.0,0.0,16.94,0,14.914554148424727,12,1,indicator <= open
500.PA,-0.10770988147512267,0.12071172731710542,2012-04-01,17.09,0.0,0.0,16.93,0,15.249238125590153,12,1,indicator <= open
500.PA,-0.09113913047894992,0.10027841833148594,2012-05-01,17.09,0.0,0.0,17.02,0,15.532432260114746,12,1,indicator <= open
500.PA,-0.054417261996004745,0.05754891646062898,2012-06-01,16.6,0.0,0.0,17.26,0,15.696673450866323,12,1,indicator <= open
500.PA,-0.08501914057954786,0.09291903727188228,2012-07-01,17.45,0.0,0.0,18.02,0,15.966415996886889,12,1,indicator <= open
500.PA,-0.0955958292061718,0.10570034094630931,2012-08-01,18.0,0.0,0.0,17.99,0,16.279275074288908,12,1,indicator <= open
500.PA,-0.08173812935551097,0.08901396428247908,2012-09-01,18.02,0.0,0.0,18.07,0,16.547078909013692,12,1,indicator <= open
500.PA,-0.07088394241779276,0.07629180643185797,2012-10-01,18.06,0.0,0.0,17.6,0,16.77983599993466,12,1,indicator <= open
500.PA,-0.04983737003632032,0.052451410384583716,2012-11-01,17.83,0.0,0.0,17.64,0,16.941399692252407,12,1,indicator <= open
500.PA,-0.025602586346807808,0.02627530203597224,2012-12-01,17.47,0.0,0.0,17.56,0,17.022722816521267,12,1,indicator <= open
500.PA,-0.04281628992348897,0.044731527994836554,2013-01-01,17.93,0.0,0.0,17.93,0,17.162303921671842,12,1,indicator <= open
500.PA,-0.03713159143608202,0.03856351616256929,2013-02-01,17.95,0.0,0.0,18.85,0,17.283487933722327,12,1,indicator <= open
500.PA,-0.07725322627620475,0.08372093891419974,2013-03-01,19.02,0.0,0.0,19.9,0,17.550643636226585,12,1,indicator <= open
500.PA,-0.10064457831907475,0.11190745715522199,2013-04-01,19.92,0.0,0.0,19.75,0,17.915159999884033,12,1,indicator <= open
500.PA,-0.0711547900002974,0.07660564885759617,2013-05-01,19.56,0.0,0.0,20.55,0,18.16821230759418,12,1,indicator <= open
500.PA,-0.09879834193360011,0.10962956076399133,2013-06-01,20.57,0.0,0.0,20.21,0,18.537718106425846,12,1,indicator <= open
500.PA,-0.07193067366282835,0.07750571171953119,2013-07-01,20.26,0.0,0.0,20.78,0,18.8026845515911,12,1,indicator <= open
500.PA,-0.09284116379843364,0.10234278727546317,2013-08-01,21.12,0.0,0.0,20.31,0,19.159194620577082,12,1,indicator <= open
500.PA,-0.047944775872635896,0.05035923826433616,2013-09-01,20.31,0.0,0.0,20.4,0,19.336241602026764,12,1,indicator <= open
500.PA,-0.05113755841259461,0.053893542595113905,2013-10-01,20.58,0.0,0.0,21.23,0,19.5275890478688,12,1,indicator <= open
500.PA,-0.0765523287357787,0.08289839383208014,2013-11-01,21.47,0.0,0.0,21.84,0,19.82642150204283,12,1,indicator <= open
500.PA,-0.07906638344598804,0.08585459584138316,2013-12-01,21.87,0.0,0.0,22.11,0,20.140818194036243,12,1,indicator <= open
500.PA,-0.07536095698292225,0.08150310929659754,2014-01-01,22.11,0.0,0.0,21.81,0,20.44376924110759,12,1,indicator <= open
500.PA,-0.032486208654086905,0.033576998017666684,2014-02-01,21.26,0.0,0.0,22.26,0,20.569343204014114,12,1,indicator <= open
500.PA,-0.060382791303506586,0.06426318158569495,2014-03-01,22.15,0.0,0.0,22.48,0,20.812521172627328,12,1,indicator <= open
500.PA,-0.06761296028395367,0.0725159803857257,2014-04-01,22.62,0.0,0.0,22.51,0,21.09059483837697,12,1,indicator <= open
500.PA,-0.05300327103539596,0.05596985650979695,2014-05-01,22.5,0.0,0.0,23.39,0,21.30742640170359,12,1,indicator <= open
500.PA,-0.07796633863610004,0.08455910223577942,2014-06-01,23.47,0.0,0.0,23.78,0,21.64013003221073,12,1,indicator <= open
500.PA,-0.08224565850159474,0.08961620205175314,2014-07-01,23.97,0.0,0.0,24.0,0,21.998571565716773,12,1,indicator <= open
500.PA,-0.06535787550695497,0.06992823648132213,2014-08-01,23.84,0.0,0.0,25.33,0,22.281868247914193,12,1,indicator <= open
500.PA,-0.10387477066306441,0.1159154627751345,2014-09-01,25.4,0.0,0.0,26.04,0,22.761580825158163,12,1,indicator <= open
500.PA,-0.0987809645182538,0.10960816475148075,2014-10-01,25.77,0.0,0.0,26.89,0,23.2244145443646,12,1,indicator <= open
500.PA,-0.11778365744423054,0.13350881383925942,2014-11-01,26.98,0.0,0.0,27.73,0,23.80219692215466,12,1,indicator <= open
500.PA,-0.11431080572534306,0.12906424337598352,2014-12-01,27.52,0.0,0.0,28.49,0,24.37416662643856,12,1,indicator <= open
500.PA,-0.1262831711885511,0.14453558295350566,2015-01-01,28.65,0.0,0.0,29.62,0,25.03198714544801,12,1,indicator <= open
500.PA,-0.13657554799657753,0.1581789207841848,2015-02-01,29.85,0.0,0.0,31.5,0,25.773219892302162,12,1,indicator <= open
500.PA,-0.1592842669525771,0.18946269314504696,2015-03-01,31.75,0.0,0.0,32.36,0,26.692724524255677,12,1,indicator <= open
500.PA,-0.14428462550362753,0.16861287035837774,2015-04-01,32.18,0.0,0.0,31.31,0,27.536920751293266,12,1,indicator <= open
500.PA,-0.11504398092195234,0.1299996592393437,2015-05-01,31.87,0.0,0.0,32.39,0,28.20354832801738,12,1,indicator <= open
500.PA,-0.1152337575493198,0.1302420368459563,2015-06-01,32.65,0.0,0.0,31.24,0,28.887617816014707,12,1,indicator <= open
500.PA,-0.07189445682083337,0.07746366493466193,2015-07-01,31.57,0.0,0.0,32.15,0,29.30029199816629,12,1,indicator <= open
500.PA,-0.07834477933194554,0.0850044328671604,2015-08-01,32.29,0.0,0.0,29.77,0,29.760247075371478,12,1,indicator <= open
500.PA,0.029428473919670007,-0.02858719635723464,2015-09-01,28.76,0.0,0.0,29.13,0,29.60636290992971,12,0,indicator <= open
500.PA,0.01531581845631906,-0.01508478266359048,2015-10-01,29.08,0.0,0.0,31.91,0,29.525384000709757,12,0,indicator <= open
500.PA,-0.07340354515261528,0.07921846103404877,2015-11-01,32.33,0.0,0.0,33.46,0,29.956863385215946,12,1,indicator <= open
500.PA,-0.0933140727025305,0.10291774681081557,2015-12-01,33.67,0.0,0.0,32.0,0,30.5281151721058,12,1,indicator <= open
500.PA,-0.031023455850756665,0.03201672531505405,2016-01-01,31.69,0.0,0.0,30.52,0,30.706866684089523,12,1,indicator <= open
500.PA,0.011079190734169384,-0.010957787318443882,2016-02-01,30.31,0.0,0.0,30.33,0,30.645810271152673,12,0,indicator <= open
500.PA,-0.01155229387071524,0.01168730909999628,2016-03-01,31.07,0.0,0.0,30.87,0,30.711070229436878,12,1,indicator <= open
500.PA,-0.013259929675035354,0.013438118177027555,2016-04-01,31.2,0.0,0.0,30.82,0,30.786290194138896,12,1,indicator <= open
500.PA,-0.003113786070381239,0.0031235120185954097,2016-05-01,30.9,0.0,0.0,32.26,0,30.80378401042522,12,1,indicator <= open
