symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_6_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,6,0,indicator >= open
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,6,0,indicator >= open
MSFT,,,1986-05-01,0.11,0.12,0.11,0.12,333446400,,6,0,indicator >= open
MSFT,,,1986-06-01,0.12,0.12,0.1,0.11,293788800,,6,0,indicator >= open
MSFT,,,1986-07-01,0.11,0.11,0.09,0.1,460800000,,6,0,indicator >= open
MSFT,0.049999999999999906,-0.04761904761904753,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.105,6,1,indicator >= open
MSFT,0.06666666666666668,-0.06250000000000001,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.10666666666666667,6,1,indicator >= open
MSFT,0.06666666666666682,-0.06250000000000012,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.10666666666666669,6,1,indicator >= open
MSFT,-0.20238095238095258,0.2537313432835824,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.11166666666666665,6,0,indicator >= open
MSFT,-0.2941176470588236,0.4166666666666668,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.12,6,0,indicator >= open
MSFT,-0.23529411764705885,0.30769230769230776,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.13,6,0,indicator >= open
MSFT,-0.38,0.6129032258064516,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.155,6,0,indicator >= open
MSFT,-0.32098765432098764,0.4727272727272727,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.18333333333333335,6,0,indicator >= open
MSFT,-0.3431372549019608,0.5223880597014925,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.22333333333333336,6,0,indicator >= open
MSFT,-0.27777777777777773,0.3846153846153845,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.26,6,0,indicator >= open
MSFT,-0.2541666666666667,0.34078212290502796,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.29833333333333334,6,0,indicator >= open
MSFT,-0.061904761904761914,0.06598984771573604,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.3283333333333333,6,0,indicator >= open
MSFT,0.03535353535353516,-0.03414634146341445,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.3416666666666666,6,1,indicator >= open
MSFT,-0.10975609756097558,0.12328767123287668,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.365,6,0,indicator >= open
MSFT,-0.1630434782608696,0.19480519480519484,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.385,6,0,indicator >= open
MSFT,0.12254901960784302,-0.1091703056768558,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.38166666666666665,6,1,indicator >= open
MSFT,0.1827956989247313,-0.15454545454545462,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.3666666666666667,6,1,indicator >= open
MSFT,-0.021929824561403577,0.0224215246636772,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.37166666666666665,6,0,indicator >= open
MSFT,-0.021367521367521434,0.021834061135371247,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.38166666666666665,6,0,indicator >= open
MSFT,-0.06910569105691054,0.07423580786026197,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.38166666666666665,6,0,indicator >= open
MSFT,-0.05128205128205118,0.054054054054053946,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.37000000000000005,6,0,indicator >= open
MSFT,-0.008771929824561315,0.008849557522123802,1988-05-01,0.38,0.41,0.37,0.4,1033012800,0.3766666666666667,6,0,indicator >= open
MSFT,-0.020833333333333398,0.021276595744680916,1988-06-01,0.4,0.47,0.4,0.47,1198598400,0.39166666666666666,6,0,indicator >= open
MSFT,-0.1347517730496453,0.15573770491803268,1988-07-01,0.47,0.49,0.39,0.41,1401105600,0.4066666666666667,6,0,indicator >= open
MSFT,0.0,0.0,1988-08-01,0.41,0.42,0.33,0.35,1862596800,0.41,6,1,indicator >= open
MSFT,0.1715686274509801,-0.14644351464435124,1988-09-01,0.34,0.38,0.33,0.36,1216584000,0.39833333333333326,6,1,indicator >= open
MSFT,0.09259259259259257,-0.08474576271186439,1988-10-01,0.36,0.38,0.33,0.34,1532102400,0.3933333333333333,6,1,indicator >= open
MSFT,0.13725490196078438,-0.12068965517241384,1988-11-01,0.34,0.35,0.31,0.33,1558929600,0.3866666666666667,6,1,indicator >= open
MSFT,0.1363636363636363,-0.11999999999999995,1988-12-01,0.33,0.38,0.33,0.37,1030464000,0.375,6,1,indicator >= open
MSFT,-0.03153153153153151,0.0325581395348837,1989-01-01,0.37,0.42,0.35,0.41,1375084800,0.35833333333333334,6,0,indicator >= open
MSFT,-0.12601626016260156,0.14418604651162784,1989-02-01,0.41,0.45,0.41,0.41,1802145600,0.35833333333333334,6,0,indicator >= open
