symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
MSFT,,,1986-03-01,0.09,0.1,0.09,0.1,1857052800,,3,0,indicator > close
MSFT,,,1986-04-01,0.1,0.12,0.09,0.11,547142400,,3,0,indicator > close
MSFT,-0.06060606060606049,0.06451612903225794,1986-05-01,0.11,0.12,0.11,0.12,333446400,0.10333333333333335,3,0,indicator > close
MSFT,-0.055555555555555566,0.05882352941176472,1986-06-01,0.12,0.12,0.1,0.11,293788800,0.11333333333333333,3,1,indicator > close
MSFT,0.030303030303030245,-0.0294117647058823,1986-07-01,0.11,0.11,0.09,0.1,460800000,0.11333333333333333,3,1,indicator > close
MSFT,0.06666666666666668,-0.06250000000000001,1986-08-01,0.1,0.11,0.09,0.1,266256000,0.10666666666666667,3,1,indicator > close
MSFT,0.016666666666666774,-0.01639344262295092,1986-09-01,0.1,0.11,0.09,0.1,285120000,0.10166666666666668,3,1,indicator > close
MSFT,1.3877787807814457e-16,-1.3877787807814454e-16,1986-10-01,0.1,0.14,0.1,0.13,1565712000,0.10000000000000002,3,0,indicator > close
MSFT,-0.14285714285714288,0.16666666666666669,1986-11-01,0.14,0.18,0.14,0.17,1053964800,0.12000000000000001,3,0,indicator > close
MSFT,-0.12745098039215685,0.14606741573033707,1986-12-01,0.17,0.17,0.16,0.17,721526400,0.14833333333333334,3,0,indicator > close
MSFT,-0.029411764705882377,0.030303030303030328,1987-01-01,0.17,0.27,0.16,0.25,1961596800,0.165,3,0,indicator > close
MSFT,-0.16000000000000003,0.19047619047619052,1987-02-01,0.25,0.28,0.23,0.27,1834272000,0.21,3,0,indicator > close
MSFT,-0.08641975308641979,0.09459459459459464,1987-03-01,0.27,0.34,0.26,0.34,1783324800,0.24666666666666667,3,0,indicator > close
MSFT,-0.11274509803921567,0.12707182320441987,1987-04-01,0.34,0.38,0.31,0.36,2118585600,0.3016666666666667,3,0,indicator > close
MSFT,-0.060185185185185036,0.0640394088669949,1987-05-01,0.36,0.45,0.36,0.4,2192054400,0.3383333333333334,3,0,indicator > close
MSFT,-0.05833333333333329,0.06194690265486721,1987-06-01,0.4,0.4,0.33,0.35,1729353600,0.3766666666666667,3,1,indicator > close
MSFT,0.052380952380952486,-0.04977375565610869,1987-07-01,0.35,0.37,0.31,0.33,1813536000,0.36833333333333335,3,1,indicator > close
MSFT,0.05555555555555549,-0.05263157894736836,1987-08-01,0.33,0.42,0.32,0.41,2034921600,0.34833333333333333,3,0,indicator > close
MSFT,-0.089430894308943,0.0982142857142856,1987-09-01,0.41,0.46,0.37,0.46,1554912000,0.37333333333333335,3,0,indicator > close
MSFT,-0.08333333333333333,0.0909090909090909,1987-10-01,0.46,0.55,0.26,0.35,3567225600,0.4216666666666667,3,1,indicator > close
MSFT,0.1519607843137254,-0.13191489361702122,1987-11-01,0.34,0.36,0.28,0.31,1550188800,0.39166666666666666,3,1,indicator > close
MSFT,0.11290322580645172,-0.10144927536231892,1987-12-01,0.31,0.39,0.28,0.38,1780200000,0.34500000000000003,3,0,indicator > close
MSFT,-0.07894736842105256,0.08571428571428562,1988-01-01,0.38,0.43,0.36,0.39,1966795200,0.35000000000000003,3,0,indicator > close
MSFT,-0.04273504273504272,0.04464285714285713,1988-02-01,0.39,0.42,0.35,0.41,1403899200,0.37333333333333335,3,0,indicator > close
MSFT,-0.028455284552845374,0.02928870292887013,1988-03-01,0.41,0.45,0.38,0.39,2113675200,0.3983333333333334,3,1,indicator > close
MSFT,0.01709401709401706,-0.0168067226890756,1988-04-01,0.39,0.41,0.37,0.38,1155096000,0.39666666666666667,3,1,indicator > close
