symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_6_months,moving_average_window_months,condition,screening_rule
SPY,,,1993-01-01,43.97,43.97,43.75,43.94,1003200,,6,0,indicator <= high
SPY,,,1993-02-01,43.97,45.12,42.81,44.41,5417600,,6,0,indicator <= high
SPY,,,1993-03-01,44.56,45.84,44.22,45.19,3019200,,6,0,indicator <= high
SPY,,,1993-04-01,45.25,45.25,43.28,44.03,2697200,,6,0,indicator <= high
SPY,,,1993-05-01,44.09,45.66,43.84,45.22,1808000,,6,0,indicator <= high
SPY,-0.01858381078301749,0.01893570840505951,1993-06-01,45.38,45.81,44.22,45.06,3438000,44.53666666666667,6,1,indicator <= high
SPY,-0.008680555555555535,0.008756567425569156,1993-07-01,45.12,45.22,44.16,44.84,6117600,44.72833333333333,6,1,indicator <= high
SPY,-0.0005566688933422084,0.0005569789461958021,1993-08-01,44.91,46.56,44.84,46.56,5440100,44.885,6,1,indicator <= high
SPY,-0.02621561445090861,0.026921374834046365,1993-09-01,46.41,46.59,44.81,45.94,4369900,45.19333333333333,6,1,indicator <= high
SPY,-0.012678000581226317,0.012840796202950734,1993-10-01,45.88,47.16,45.72,46.84,6972900,45.29833333333334,6,1,indicator <= high
SPY,-0.02208921191392329,0.022588166715243326,1993-11-01,46.78,47.0,45.53,46.34,5351100,45.74666666666667,6,1,indicator <= high
SPY,-0.013772626457752152,0.013964960644201956,1993-12-01,46.59,47.16,46.38,46.59,6128000,45.94833333333333,6,1,indicator <= high
SPY,-0.008513987264792192,0.008587097705296615,1994-01-01,46.59,48.31,46.41,48.22,6837100,46.193333333333335,6,1,indicator <= high
SPY,-0.029588870431893483,0.030491066652401623,1994-02-01,48.16,48.28,46.56,46.81,10974400,46.73500000000001,6,1,indicator <= high
SPY,-0.00017802463860997348,0.0001780563370250246,1994-03-01,46.81,47.31,43.53,44.59,14705500,46.80166666666667,6,1,indicator <= high
SPY,0.07010459929241657,-0.06551191289035829,1994-04-01,43.34,45.36,43.34,45.09,11429000,46.37833333333334,6,0,indicator <= high
SPY,0.02232571893250538,-0.021838166172535995,1994-05-01,45.09,45.94,44.17,45.81,8545100,46.09666666666667,6,0,indicator <= high
SPY,0.005433989788475442,-0.005404621132431233,1994-06-01,45.7,46.56,44.0,44.47,10352700,45.94833333333333,6,1,indicator <= high
SPY,0.02107108227045581,-0.020636254063333283,1994-07-01,44.69,46.05,44.38,45.91,5452100,45.63166666666667,6,1,indicator <= high
SPY,-0.014765636337251515,0.014986927863902521,1994-08-01,45.94,47.98,45.66,47.66,7945800,45.26166666666666,6,1,indicator <= high
SPY,-0.044701754385964944,0.046793506207301876,1994-09-01,47.5,47.72,45.73,46.17,6309300,45.376666666666665,6,1,indicator <= high
SPY,-0.0075036075036076,0.007560337307356887,1994-10-01,46.2,47.7,45.0,47.48,5437600,45.85333333333333,6,1,indicator <= high
SPY,-0.02245487873660464,0.022970682629548177,1994-11-01,47.28,47.33,44.61,45.59,4807300,46.218333333333334,6,1,indicator <= high
SPY,0.01245252702307921,-0.012299368800721409,1994-12-01,45.64,46.41,44.69,45.56,8568500,46.208333333333336,6,1,indicator <= high
SPY,0.014806710430342719,-0.014590670595845519,1995-01-01,45.7,47.23,45.69,47.09,2768000,46.376666666666665,6,1,indicator <= high
SPY,-0.012298558100084631,0.012451696006869711,1995-02-01,47.16,49.16,47.0,49.02,5954800,46.580000000000005,6,1,indicator <= high
SPY,-0.043802327955891424,0.04580886278697284,1995-03-01,48.97,50.89,48.22,50.11,4538000,46.824999999999996,6,1,indicator <= high
SPY,-0.05223930258867373,0.0551186631091139,1995-04-01,50.09,51.67,50.06,51.59,4395200,47.473333333333336,6,1,indicator <= high
SPY,-0.06527643064985442,0.0698350108955068,1995-05-01,51.55,53.64,51.39,53.64,6986200,48.185,6,1,indicator <= high
SPY,-0.07358172626848905,0.07942603071948262,1995-06-01,53.41,55.16,52.75,54.41,5790900,49.48,6,1,indicator <= high
SPY,-0.06477571752034764,0.06926222803860631,1995-07-01,54.47,56.7,54.2,56.16,5508200,50.94166666666666,6,1,indicator <= high
SPY,-0.06716462149505018,0.07200050838840884,1995-08-01,56.23,56.8,55.42,56.41,8100100,52.453333333333326,6,1,indicator <= high
SPY,-0.04788082993438558,0.05028869435649102,1995-09-01,56.39,58.91,56.34,58.48,7431600,53.69,6,1,indicator <= high
SPY,-0.0579970360237118,0.06156778507245937,1995-10-01,58.48,59.19,57.27,58.31,8944800,55.08833333333333,6,1,indicator <= high
SPY,-0.035518188057652715,0.036826187511119025,1995-11-01,58.28,61.2,58.23,60.91,8841700,56.21,6,1,indicator <= high
SPY,-0.05753252432491527,0.061044572687991176,1995-12-01,60.98,62.8,60.58,61.48,9816800,57.471666666666664,6,1,indicator <= high
SPY,-0.04529664006947837,0.04744577422747818,1996-01-01,61.41,63.69,59.64,63.67,10661800,58.62833333333333,6,1,indicator <= high
SPY,-0.05897919614316416,0.06267576221634424,1996-02-01,63.61,66.69,63.44,63.88,14850400,59.85833333333333,6,1,indicator <= high
SPY,-0.05270214521452156,0.055634186173108446,1996-03-01,64.64,65.97,62.0,64.69,19022700,61.23333333333333,6,1,indicator <= high
SPY,-0.041230769230769335,0.0430038510911426,1996-04-01,65.0,65.81,62.12,65.39,14999300,62.31999999999999,6,1,indicator <= high
SPY,-0.028703986948098274,0.029552254474830696,1996-05-01,65.38,68.44,63.08,66.88,17453200,63.50333333333333,6,1,indicator <= high
SPY,-0.03590471919071118,0.0372418783759337,1996-06-01,66.89,68.5,66.16,67.11,16871800,64.48833333333333,6,1,indicator <= high
SPY,-0.026952041220769125,0.02769857433808575,1996-07-01,67.28,67.7,60.38,64.09,28811500,65.46666666666665,6,1,indicator <= high
SPY,0.02179447215295107,-0.021329604677768,1996-08-01,64.16,67.34,64.06,65.33,15593100,65.55833333333334,6,1,indicator <= high
SPY,0.016441755855436672,-0.01617579734472764,1996-09-01,64.47,69.25,64.38,68.62,17216100,65.53,6,1,indicator <= high
SPY,-0.037166424065987504,0.038601088490223874,1996-10-01,68.7,71.62,68.44,70.84,14791800,66.14666666666666,6,1,indicator <= high
SPY,-0.05494505494505502,0.05813953488372102,1996-11-01,70.98,76.69,70.27,76.02,24089700,67.08,6,1,indicator <= high
SPY,-0.09661485774499483,0.10694758329080715,1996-12-01,75.92,76.58,71.88,73.84,34952800,68.585,6,1,indicator <= high
SPY,-0.062001434077260886,0.06609971094813785,1997-01-01,74.38,79.69,72.75,78.41,43623700,69.76833333333333,6,1,indicator <= high
SPY,-0.08288871951219519,0.0903802202368586,1997-02-01,78.72,82.0,77.12,79.16,30028800,72.195,6,1,indicator <= high
SPY,-0.05301587301587298,0.055983908816627515,1997-03-01,78.75,81.8,75.25,75.38,37514300,74.575,6,1,indicator <= high
SPY,0.005537098560354437,-0.00550660792951548,1997-04-01,75.25,80.69,73.31,80.09,57679300,75.66666666666667,6,1,indicator <= high
SPY,-0.03756336740629937,0.03902944478024353,1997-05-01,80.22,85.56,79.31,85.16,37473400,77.20666666666666,6,1,indicator <= high
SPY,-0.07690805405827685,0.08331570261921907,1997-06-01,85.34,90.5,84.08,88.31,47332500,78.77666666666666,6,1,indicator <= high
SPY,-0.08327683615819215,0.09084185874522378,1997-07-01,88.5,96.03,88.39,95.31,65359700,81.13,6,1,indicator <= high
SPY,-0.12118673647469463,0.13789816506473912,1997-08-01,95.5,96.62,89.34,90.38,99046800,83.92666666666666,6,1,indicator <= high
SPY,-0.052633513434042635,0.0555577109602327,1997-09-01,90.69,96.38,90.25,94.38,78642200,85.91666666666667,6,1,indicator <= high
SPY,-0.06299212598425197,0.06722689075630252,1997-10-01,95.25,98.5,84.38,92.06,137440500,89.25,6,1,indicator <= high
SPY,-0.01908287727581631,0.01945411781865905,1997-11-01,93.19,96.81,90.09,95.62,93157400,91.41166666666668,6,1,indicator <= high
SPY,-0.0311265849095824,0.032126575489407554,1997-12-01,96.22,99.0,92.38,97.06,79162300,93.22499999999998,6,1,indicator <= high
