symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_12_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,12,0,indicator <= high
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,12,0,indicator <= high
500.PA,,,2010-08-01,13.36,0.0,0.0,12.94,0,,12,0,indicator <= high
500.PA,,,2010-09-01,13.21,0.0,0.0,13.11,0,,12,0,indicator <= high
500.PA,,,2010-10-01,13.08,0.0,0.0,13.36,0,,12,0,indicator <= high
500.PA,,,2010-11-01,13.39,0.0,0.0,14.26,0,,12,0,indicator <= high
500.PA,,,2010-12-01,14.52,0.0,0.0,14.75,0,,12,0,indicator <= high
500.PA,,,2011-01-01,14.98,0.0,0.0,14.77,0,,12,0,indicator <= high
500.PA,,,2011-02-01,14.93,0.0,0.0,15.15,0,,12,0,indicator <= high
500.PA,,,2011-03-01,14.9,0.0,0.0,14.75,0,,12,0,indicator <= high
500.PA,,,2011-04-01,14.87,0.0,0.0,14.52,0,,12,0,indicator <= high
500.PA,-0.027758541089565995,0.02855107734314712,2011-05-01,14.44,0.0,0.0,14.8,0,14.039166666666667,12,0,indicator <= high
500.PA,-0.023347202958853397,0.023905325443786936,2011-06-01,14.42,0.0,0.0,14.42,0,14.083333333333334,12,0,indicator <= high
500.PA,-0.02872582480091019,0.029575402635431985,2011-07-01,14.65,0.0,0.0,14.25,0,14.229166666666666,12,0,indicator <= high
500.PA,-0.0033077994428968964,0.0033187772925763795,2011-08-01,14.36,0.0,0.0,13.44,0,14.3125,12,0,indicator <= high
500.PA,0.06780923994038736,-0.06350314026517784,2011-09-01,13.42,0.0,0.0,13.4,0,14.329999999999998,12,0,indicator <= high
500.PA,0.08941236068895637,-0.0820739362938851,2011-10-01,13.16,0.0,0.0,14.29,0,14.336666666666666,12,0,indicator <= high
500.PA,0.01634909433074563,-0.016086101145700655,2011-11-01,14.17,0.0,0.0,14.77,0,14.401666666666666,12,0,indicator <= high
500.PA,-0.02110205928943198,0.021556955441252943,2011-12-01,14.73,0.0,0.0,15.46,0,14.419166666666667,12,0,indicator <= high
500.PA,-0.06473695558430365,0.06921791251224721,2012-01-01,15.46,0.0,0.0,16.01,0,14.459166666666667,12,0,indicator <= high
500.PA,-0.09227490122686625,0.10165511711814897,2012-02-01,16.03,0.0,0.0,16.33,0,14.550833333333335,12,0,indicator <= high
