symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
500.PA,,,2010-06-01,13.89,0.0,0.0,13.16,0,,3,0,indicator <= low
500.PA,,,2010-07-01,12.9,0.0,0.0,13.23,0,,3,0,indicator <= low
500.PA,-0.004865269461077807,0.004889056036103761,2010-08-01,13.36,0.0,0.0,12.94,0,13.295,3,0,indicator <= low
500.PA,-0.00012616704516782188,0.00012618296529970426,2010-09-01,13.21,0.0,0.0,13.11,0,13.208333333333334,3,0,indicator <= low
500.PA,0.006880733944954254,-0.006833712984054793,2010-10-01,13.08,0.0,0.0,13.36,0,13.170000000000002,3,0,indicator <= low
500.PA,-0.009957679860592447,0.01005783253708822,2010-11-01,13.39,0.0,0.0,14.26,0,13.256666666666668,3,0,indicator <= low
500.PA,-0.042470156106519656,0.04435387197314783,2010-12-01,14.52,0.0,0.0,14.75,0,13.903333333333334,3,0,indicator <= low
500.PA,-0.02792612372051622,0.02872839647476248,2011-01-01,14.98,0.0,0.0,14.77,0,14.561666666666667,3,0,indicator <= low
500.PA,-0.003460593882562899,0.00347261117956743,2011-02-01,14.93,0.0,0.0,15.15,0,14.878333333333336,3,0,indicator <= low
500.PA,0.0015659955257270757,-0.0015635470180924789,2011-03-01,14.9,0.0,0.0,14.75,0,14.923333333333334,3,0,indicator <= low
500.PA,0.0013449899125757465,-0.0013431833445266186,2011-04-01,14.87,0.0,0.0,14.52,0,14.89,3,0,indicator <= low
500.PA,0.01523545706371208,-0.015006821282401253,2011-05-01,14.44,0.0,0.0,14.8,0,14.660000000000002,3,0,indicator <= low
500.PA,0.005663430420711874,-0.005631536604987834,2011-06-01,14.42,0.0,0.0,14.42,0,14.501666666666665,3,0,indicator <= low
500.PA,-0.007622298065984052,0.007680843746417495,2011-07-01,14.65,0.0,0.0,14.25,0,14.538333333333334,3,0,indicator <= low
500.PA,0.007428040854224746,-0.007373271889400969,2011-08-01,14.36,0.0,0.0,13.44,0,14.466666666666667,3,0,indicator <= low
500.PA,0.03862394436164923,-0.037187612100920676,2011-09-01,13.42,0.0,0.0,13.4,0,13.938333333333333,3,0,indicator <= low
500.PA,0.021783181357649475,-0.021318790282597946,2011-10-01,13.16,0.0,0.0,14.29,0,13.446666666666667,3,0,indicator <= low
500.PA,-0.03258056927781694,0.033677811550151926,2011-11-01,14.17,0.0,0.0,14.77,0,13.708333333333334,3,0,indicator <= low
500.PA,-0.030436750396017252,0.03139222779787612,2011-12-01,14.73,0.0,0.0,15.46,0,14.281666666666666,3,0,indicator <= low
500.PA,-0.02964639931004747,0.03055216087101437,2012-01-01,15.46,0.0,0.0,16.01,0,15.001666666666667,3,0,indicator <= low
500.PA,-0.02536909960490744,0.026029443140601637,2012-02-01,16.03,0.0,0.0,16.33,0,15.623333333333335,3,0,indicator <= low
500.PA,-0.019708914493632247,0.02010516548097715,2012-03-01,16.49,0.0,0.0,16.94,0,16.165000000000003,3,0,indicator <= low
500.PA,-0.022040179442168822,0.02253689668926995,2012-04-01,17.09,0.0,0.0,16.93,0,16.713333333333335,3,0,indicator <= low
500.PA,-0.0058513750731422716,0.005885815185403262,2012-05-01,17.09,0.0,0.0,17.02,0,16.99,3,0,indicator <= low
500.PA,0.014759036144578158,-0.014544375185514838,2012-06-01,16.6,0.0,0.0,17.26,0,16.845,3,0,indicator <= low
500.PA,-0.01967526265520537,0.020070148090413117,2012-07-01,17.45,0.0,0.0,18.02,0,17.106666666666666,3,0,indicator <= low
500.PA,-0.023148148148148213,0.023696682464455044,2012-08-01,18.0,0.0,0.0,17.99,0,17.583333333333332,3,0,indicator <= low
500.PA,-0.005641879393266736,0.005673890800855729,2012-09-01,18.02,0.0,0.0,18.07,0,17.918333333333333,3,0,indicator <= low
500.PA,-0.0012919896640826926,0.0012936610608020752,2012-10-01,18.06,0.0,0.0,17.6,0,18.036666666666665,3,0,indicator <= low
500.PA,0.006075902037764122,-0.006039208399145273,2012-11-01,17.83,0.0,0.0,17.64,0,17.938333333333333,3,0,indicator <= low
500.PA,0.012497614958977317,-0.012343352492226537,2012-12-01,17.47,0.0,0.0,17.56,0,17.688333333333333,3,0,indicator <= low
500.PA,-0.009481316229782384,0.009572072072071967,2013-01-01,17.93,0.0,0.0,17.93,0,17.76,3,0,indicator <= low
500.PA,-0.004828226555246017,0.004851651427505094,2013-02-01,17.95,0.0,0.0,18.85,0,17.863333333333333,3,0,indicator <= low
500.PA,-0.028303540133193167,0.029127964649652848,2013-03-01,19.02,0.0,0.0,19.9,0,18.481666666666666,3,0,indicator <= low
500.PA,-0.03154283801874166,0.03257019438444927,2013-04-01,19.92,0.0,0.0,19.75,0,19.291666666666668,3,0,indicator <= low
500.PA,0.0015337423312884017,-0.0015313935681470717,2013-05-01,19.56,0.0,0.0,20.55,0,19.59,3,0,indicator <= low
500.PA,-0.02163344676713662,0.02211180124223604,2013-06-01,20.57,0.0,0.0,20.21,0,20.125,3,0,indicator <= low
500.PA,-0.0006581112207964174,0.0006585446163978639,2013-07-01,20.26,0.0,0.0,20.78,0,20.246666666666666,3,0,indicator <= low
500.PA,-0.017913510101010124,0.01824025713137809,2013-08-01,21.12,0.0,0.0,20.31,0,20.741666666666667,3,0,indicator <= low
500.PA,0.012883636960446417,-0.012719760187960791,2013-09-01,20.31,0.0,0.0,20.4,0,20.571666666666665,3,0,indicator <= low
500.PA,0.0,0.0,2013-10-01,20.58,0.0,0.0,21.23,0,20.58,3,0,indicator <= low
500.PA,-0.022822543083372077,0.02335557673975207,2013-11-01,21.47,0.0,0.0,21.84,0,20.98,3,0,indicator <= low
500.PA,-0.015927450083828818,0.016185239680941824,2013-12-01,21.87,0.0,0.0,22.11,0,21.521666666666665,3,0,indicator <= low
500.PA,-0.008442635308306823,0.008514520298008083,2014-01-01,22.11,0.0,0.0,21.81,0,21.923333333333336,3,0,indicator <= low
500.PA,0.018109125117591628,-0.017787017787017696,2014-02-01,21.26,0.0,0.0,22.26,0,21.645,3,0,indicator <= low
500.PA,-0.01369450714823181,0.013884650595056513,2014-03-01,22.15,0.0,0.0,22.48,0,21.846666666666664,3,0,indicator <= low
500.PA,-0.01694665487768934,0.017238794783390774,2014-04-01,22.62,0.0,0.0,22.51,0,22.236666666666668,3,0,indicator <= low
500.PA,-0.0008148148148148632,0.0008154792794129034,2014-05-01,22.5,0.0,0.0,23.39,0,22.481666666666666,3,0,indicator <= low
